team_code,rating,matches_played,wins,losses,model,pool_key,team_name,rank
G14FGSVA1FL,44.58943485441773,9,8,1,massey,G14,Gulfside 14U Prime,1
G14SOSVB1GE,41.13521745525379,6,5,1,massey,G14,Sideout 14N Jeff,2
G14NYCJR1GE,38.42870000464954,13,11,2,massey,G14,NYC Juniors 14 National,3
G14HKJVB1NE,38.04539895096393,5,3,2,massey,G14,Husky 14 National,4
G14NEVBC1NE,36.784788080782604,14,11,3,massey,G14,Northeast 14.1,5
G14ROCKA1GE,34.98995488930096,8,7,1,massey,G14,RVT 14-1 Surf,6
G14GRVBC1NE,33.35772582506611,8,6,2,massey,G14,GVC 14-Black,7
G14LDNER1NE,32.358956800311915,11,11,0,massey,G14,Lockdown VBC 14 Mockingjays,8
G14117971XX,31.753215212321198,7,6,1,massey,G14,14U BPR 14 1,9
G14CACLI1GE,30.810937709952565,5,2,3,massey,G14,CALI 14 Black,10
G14ROCKA2GE,30.072636757729942,8,6,2,massey,G14,RVT 14-2 Swim,11
G14SJJVB1NE,29.944467886591916,5,3,2,massey,G14,SMASH 14s,12
G14FGSVA2FL,28.666791427731805,9,7,2,massey,G14,Gulfside 14U Select,13
G14NEVBC2NE,26.607761131688502,12,11,1,massey,G14,Northeast 14.2,14
G14APXTC1OV,26.15369934933376,8,6,2,massey,G14,Apex VBTC 14 Apex Red,15
G14NYCJR2GE,25.83337964356279,7,4,3,massey,G14,NYC Juniors 14 Blue,16
G14NYCJR5GE,24.846533234084195,8,4,4,massey,G14,NYC Juniors 14 Brooklyn,17
G14SJJVB2NE,24.71064676419592,5,4,1,massey,G14,SMASH 14s Fire,18
G14MOMET2FL,23.891194251887633,10,9,1,massey,G14,Momentum 14 Neon,19
G14OCEAN1GE,23.360988558144843,8,4,4,massey,G14,Ocean Volleyball 14 National,20
G14ROCKA3GE,23.324938443852727,9,8,1,massey,G14,RVT 14-3 Sail,21
G14LCVBC1GE,23.206243150057585,7,3,4,massey,G14,Legacy 14 National,22
G14MCJVB1NE,22.239313477653575,9,7,2,massey,G14,Mill City 14's,23
G14MNJVB1NE,21.067039490011716,12,12,0,massey,G14,Maine Jrs 14-Gold,24
G14SPAVB1XL,20.888129814995168,13,5,8,massey,G14,Spa City 14 Aqua,25
G14ATLAN2GE,19.930097188381364,7,4,3,massey,G14,AVA 14 Premier 1,26
G14LDNER2NE,19.50606119775282,9,8,1,massey,G14,Lockdown VBC 14 Orioles,27
G14HKJVB2NE,19.085738262304034,3,3,0,massey,G14,Husky 14 Northeast,28
G14GRVBC2NE,18.56004136192804,12,8,4,massey,G14,GVC 14-Blue,29
G14LHVBA1GE,17.552784137965162,7,5,2,massey,G14,LHVA 14 Purple National,30
G14NYCJR3GE,16.568323874164914,7,6,1,massey,G14,NYC Juniors 14 Orange,31
G14LFJVB2NE,16.266629170166365,14,11,3,massey,G14,603 United 14 Seacoast White,32
G14TTVBC1NE,15.513568318671023,20,16,4,massey,G14,SLAM 14P Black,33
G14SJVBC1NE,15.466387694507304,5,2,3,massey,G14,South County 14-Blue,34
G14NYCVA1GE,15.256423144408274,8,3,5,massey,G14,NYC VBA 14 Chelsea,35
G14CMJVB1NE,15.235587875482224,6,1,5,massey,G14,CMASS EDGE 14 Black,36
G14NYCLI1GE,15.199061489556268,7,3,4,massey,G14,NYCLI 14 Elite,37
G14HRJVB1NE,14.11059305271022,9,9,0,massey,G14,HardRock 14,38
G14DDVBC4NE,14.110250847991384,25,15,10,massey,G14,Dig Deep 14 Stars,39
G14NEVBC3NE,13.607174922361096,19,13,6,massey,G14,Northeast 14 Blue,40
G14LFJVB1NE,13.322679850233989,13,4,9,massey,G14,603 United 14 Seacoast Black,41
G14MXVBC1NE,12.913319955154982,14,10,4,massey,G14,Max Performance 14 Jaz,42
G14GREEN1GE,12.41172911078673,7,5,2,massey,G14,Asphalt Green VBC 14-Green,43
G14LEGIO1XL,12.391903816429569,12,5,7,massey,G14,TeamLVC 14 Black,44
G14CMJVB2NE,12.293695662507893,10,7,3,massey,G14,CMASS EDGE 14 Blue,45
G14RRJVB1NE,12.289607540794863,20,11,9,massey,G14,Boston United 14 National,46
G14MGJVB4NE,10.02164976594658,11,9,2,massey,G14,MGA 14's Red,47
G14MGJVB1NE,9.95301950535139,10,7,3,massey,G14,MGA 14's Gold,48
G14MGJVB2NE,9.943601734748892,10,7,3,massey,G14,MGA 14's Silver,49
G14GAJVB1NE,9.700504765761941,5,4,1,massey,G14,Gators 14 Black,50
G14TRICO2GE,9.213800152513176,9,5,4,massey,G14,TriCounty ATTACK 14 2,51
G14NYCIV1GE,9.161394772219097,7,3,4,massey,G14,NYC Impact 14U Black,52
G14118022XX,7.776000087235171,7,3,4,massey,G14,NYCLBVC 14U WHITE,53
G14118021XX,7.6824727400680874,7,4,3,massey,G14,NYCLBVC 14U BLUE,54
G14DIGSV2GE,7.489918172313246,8,3,5,massey,G14,Digs 14 WHITE,55
G14LHVBC2NE,7.177838210521898,5,3,2,massey,G14,LHV Girls 14-2 Blast,56
G14CJJVB1NE,7.176940504907135,5,2,3,massey,G14,CT Juniors 14 National,57
G14LUNAR5GEX,6.894361341282181,7,4,3,massey,G14,CCC - Hawks 14,58
