team_code,rating,matches_played,wins,losses,model,pool_key,team_name,rank
G15FGSVA1FL,56.965439833623606,9,9,0,massey,G15,Gulfside 15U Prime,1
G15SOSVB1GE,51.572103120294685,6,6,0,massey,G15,Sideout 15N Artem,2
G15NEVBC1NE,45.01721878869794,20,18,2,massey,G15,Northeast 15.1,3
G15NYCJR2GE,41.016972206199426,7,5,2,massey,G15,NYC Juniors 15 Blue,4
G15NYCJR1GE,40.11315070177551,14,10,4,massey,G15,NYC Juniors 15 National,5
G15SJJVB1NE,39.33280307397906,12,8,4,massey,G15,SMASH 15s,6
G15LDNER1NE,33.90473118163062,10,6,4,massey,G15,Lockdown VBC 15 Cardinals,7
G15LHVBC1NE,33.026259187226856,6,6,0,massey,G15,LHV Girls 15-1 Viragos,8
G15ROCKA1GE,32.287892874731796,8,5,3,massey,G15,RVT 15-1 Surf,9
G15HKJVB1NE,31.574063929425606,5,1,4,massey,G15,Husky 15 National,10
G15VOLFX1WE,30.457851330575274,5,2,3,massey,G15,VolleyFX 15 Chant,11
G15RRJVB1NE,30.401654639136623,18,13,5,massey,G15,Boston United 15 National,12
G15GAJVB1NE,30.313265776052532,5,4,1,massey,G15,Gators 15 Black,13
G15NEVBC2NE,30.022715528162006,15,14,1,massey,G15,Northeast 15.2,14
G15LEGIO1XL,29.67978433866647,17,8,9,massey,G15,TeamLVC 15 Black,15
G15DIGSV1GE,29.152531111154655,8,3,5,massey,G15,Digs 15 RED,16
G15SJJVB2NE,28.71698382934876,5,4,1,massey,G15,SMASH 15s Power,17
G15PINVA1GE,27.916007134454496,7,2,5,massey,G15,PVA 15 National Summit,18
G15NYCIV1GE,27.62718458957872,8,4,4,massey,G15,NYC Impact 15U National,19
G15CACLI1GE,27.589454609028984,5,1,4,massey,G15,CALI 15 Black,20
G15HKJVB3NE,27.540730053020877,9,9,0,massey,G15,Husky 15 New England Red,21
G15OCEAN1GE,26.453230035259693,8,4,4,massey,G15,Ocean Volleyball 15 National,22
G15CJJVB1NE,26.26462075040906,11,7,4,massey,G15,CT Juniors 15 National,23
G15CMJVB1NE,24.76331409842944,10,4,6,massey,G15,CMASS EDGE 15 Black,24
G15FGSVA2FL,24.230243034594952,8,7,1,massey,G15,Gulfside 15U Select,25
G15MCJVB1NE,23.709995705783143,18,6,12,massey,G15,Mill City 15's,26
G15BEVNY1GE,23.412146123680262,7,3,4,massey,G15,BEV 15 Empire,27
G15LIBER1CH,22.87134854552628,7,6,1,massey,G15,Libero 15 HUSKIES,28
G15GGVOL1GE,21.37807356262027,15,14,1,massey,G15,GG 15 1 Monster,29
G15SPAVB1XL,20.83416202197634,17,5,12,massey,G15,Spa City 15 Aqua,30
G15RENAS1KE,20.63661542748808,8,7,1,massey,G15,Renaissance 15 Black,31
G15SJJVB3NE,19.85721685205048,5,5,0,massey,G15,SMASH 15s Lava,32
G15GRVBC1NE,18.968221857464872,12,4,8,massey,G15,GVC 15-1,33
G15SJVBC1NE,18.282661365199388,15,10,5,massey,G15,South County 15-Blue,34
G15LCVBC1GE,18.13674967039242,8,3,5,massey,G15,Legacy 15 National,35
G15XTREM1GE,17.317567867817374,7,4,3,massey,G15,Xtreme 15 USA Cindy,36
G15NYCVA1GE,16.21603647961238,7,2,5,massey,G15,NYC VBA 15 Soho,37
G15WHIRL1XL,15.19930291581516,8,2,6,massey,G15,Whirlwind VBC 15 1,38
G15HKJVB2NE,14.963473789247393,8,7,1,massey,G15,Husky 15 Northeast,39
G15SSVBC1NE,14.820827606826828,10,7,3,massey,G15,SSVBC 15 1,40
G15EYNER1NE,14.73159405150426,12,10,2,massey,G15,ENVY 15 NATIONAL,41
G15LDNER2NE,14.69930624474968,19,10,9,massey,G15,Lockdown VBC 15 Owls,42
G15LUNAR5GEX,14.33947940093022,4,3,1,massey,G15,Lunar 15 1,43
G15NYCJR3GE,13.850494653473238,9,8,1,massey,G15,NYC Juniors 15 Orange,44
