team_code,rating,matches_played,wins,losses,model,pool_key,team_name,rank
G16NEVBC1NE,50.39153941077569,15,15,0,massey,G16,Northeast 16.1,1
G16SJJVB1NE,46.261626776621576,5,4,1,massey,G16,SMASH 16s,2
G16SOSVB1GE,44.18301438304604,5,4,1,massey,G16,Sideout 16N Cooper,3
G16LEGIO1XL,37.37546873992346,5,3,2,massey,G16,TeamLVC 16 Black,4
G16VOLFX1WE,36.57626627154673,13,10,3,massey,G16,VolleyFX 16 Mantra,5
G16LIBER1CH,36.51061600135143,9,6,3,massey,G16,LIBERO 16 HUSKIES,6
G16ROCKA1GE,35.79111992096793,7,5,2,massey,G16,RVT 16-1 Surf,7
G16CACLI1GE,35.19492102308843,5,3,2,massey,G16,CALI 16 Black,8
G16BEVNY1GE,33.917686628544324,7,4,3,massey,G16,BEV 16 Empire,9
G16NYCJR1GE,32.82322321789065,13,7,6,massey,G16,NYC Juniors 16 National,10
G16NYCVA1GE,32.00823078152351,12,5,7,massey,G16,NYC VBA 16 Broadway,11
G16HKJVB1NE,29.944911959918606,5,3,2,massey,G16,Husky 16 National,12
G16CMJVB1NE,29.402213417648426,5,2,3,massey,G16,CMASS EDGE 16 Black,13
G16SPAVB1XL,28.21136947868637,13,7,6,massey,G16,Spa City 16 Aqua,14
G16RRJVB1NE,28.176032388849688,15,13,2,massey,G16,Boston United 16 National,15
G16USANY1XL,28.13685227314884,11,11,0,massey,G16,USANY Fortitude 16 - 1,16
G16LDNER1NE,28.04333211459923,9,5,4,massey,G16,Lockdown VBC 16 Hawks,17
G16NEVBC2NE,26.402333640754577,13,10,3,massey,G16,Northeast 16.2,18
G16DIGSV1GE,24.709528605103316,8,3,5,massey,G16,Digs 16 RED,19
G16ALBMR1CR,24.140853001819774,10,9,1,massey,G16,ARVC 16U Orange,20
G16MGJVB2NE,23.944982887311145,10,10,0,massey,G16,MGA 16's South,21
G16MCJVB1NE,23.436234573305963,12,3,9,massey,G16,Mill City 16's,22
G16APXTC1OV,22.780504573990854,7,4,3,massey,G16,Apex VBTC 16 Apex Red,23
G16PARAD1WE,22.088627228907455,5,4,1,massey,G16,Paradigm Rebellion,24
G16SOSVB2GE,21.295061497335727,5,0,5,massey,G16,Sideout 16N Carly,25
G16HKJVB3NE,20.9825060310896,9,9,0,massey,G16,Husky 16 Northeast Black,26
G16OCEAN1GE,20.600976474462193,8,5,3,massey,G16,Ocean Volleyball 16 National,27
G16WAREN1GE,19.952140423290988,4,3,1,massey,G16,Warren Sixpack 16 red,28
G16PINVA1GE,19.580961411197862,7,2,5,massey,G16,PVA 16 National Summit,29
G16DIGSV2GE,18.957883634403615,9,7,2,massey,G16,Digs 16 WHITE,30
G16MNJVB1NE,18.176576570355408,11,10,1,massey,G16,Maine Jrs 16 National,31
G16OCLEV1GE,18.155917383621944,9,5,4,massey,G16,OC Lady Elite 16 Black,32
G16TCJAG1XL,17.795955230703143,5,5,0,massey,G16,Jaguars 16u Black,33
G16NEVBC3NE,17.707777383976513,19,17,2,massey,G16,Northeast 16.3,34
G16SJJVB2NE,16.506190491537225,10,7,3,massey,G16,SMASH 16s Sparks,35
G16PROVA1GE,16.406989444380926,4,3,1,massey,G16,Prodigy 16.1 Premier,36
G16SSVBC1NE,16.29206336487898,10,8,2,massey,G16,SSVBC 16 1,37
G16RENAS1KE,16.144411366182442,8,5,3,massey,G16,Renaissance 16 Black,38
G16SJVBC1NE,16.12650537526597,16,8,8,massey,G16,South County 16- National,39
G16MVNER1NE,15.28150809810921,5,3,2,massey,G16,Meraki VB 16 1,40
G16NESVC1NE,14.872264264073692,19,14,5,massey,G16,NE Storm 16 Avalanche,41
G16HKJVB2NE,14.534269822676478,7,5,2,massey,G16,Husky 16 Northeast Red,42
G16CMJVB2NE,14.448210012494611,8,5,3,massey,G16,CMASS EDGE 16 Blue,43
G16SJJVB3NE,14.409676892582416,16,8,8,massey,G16,SMASH 16's Extreme,44
