team_code,rating,matches_played,wins,losses,model,pool_key,team_name,rank
G14EYNER1NE,-9.666666666666659,1,0,1,massey,MIXED,ENVY 14 SANDSTORM,172
G14CACLI4GE,-9.666666666666796,1,0,1,massey,MIXED,CALI 14 Gold North,173
B16BVJVB2NE,-9.686012964198417,3,1,2,massey,MIXED,Blast 16 Pyro,174
B14HKJVB1NE,-10.022727272727192,1,0,1,massey,MIXED,Husky 14.1,175
G17LDNER3NE,-10.166666666666668,1,0,1,massey,MIXED,Lockdown VBC 17 Raptors,176
G15MAPVB3NE,-10.54545454545451,1,0,1,massey,MIXED,Mass Power VB 15 Pink,177
G16HEVBA9NE,-10.874999999999831,2,1,1,massey,MIXED,HEVBA 16 99,178
G18DDVBC2NE,-10.900000000000002,1,0,1,massey,MIXED,Dig Deep 18 Force,179
B17CAPIT2XL,-11.076086956521813,2,1,1,massey,MIXED,CSVC 17 SKYLIGHT,180
G18CTRVB2NE,-11.090909090908976,1,0,1,massey,MIXED,C3VB 18 2,181
B14CAPIT1XL,-11.522727272727234,2,0,2,massey,MIXED,CSVC 14 CASCADE,182
G16MXVBC2NE,-11.590909090909348,1,0,1,massey,MIXED,Max Performance 16 Tony,183
G17NETHG2XL,-11.599999999999943,1,0,1,massey,MIXED,NET 17 Lightning,184
G18KNGHT1GE,-11.600000000000037,2,0,2,massey,MIXED,LIKVBC 18,185
G14BEVNY2GE,-11.666666666666684,1,0,1,massey,MIXED,BEV 14 Elite,186
B18MVNER2NE,-11.964952398730706,1,1,0,massey,MIXED,Meraki VB 18 2,187
G13LFJVB2NE,-12.299999999999999,7,2,5,massey,MIXED,603 United 13 Seacoast Blue,188
G14MIVBC2NE,-12.42857142857147,1,0,1,massey,MIXED,Mass Impact 14 Lara,189
B16PVJVB2NE,-12.651272613839765,4,1,3,massey,MIXED,PV Boys 16 2,190
G16CAMYV1NE,-12.874999999999586,1,1,0,massey,MIXED,CYVB 16 1,191
B15TTVBC1NE,-12.951819331073613,5,1,4,massey,MIXED,SLAM 15 1 Boys,192
B14RRJVB2NE,-13.522727272727256,2,0,2,massey,MIXED,Boston United Boys 13 Select 1,193
G12BEVNY1GE,-13.54938271604964,1,0,1,massey,MIXED,BEV 12 Elite,194
B14SJJVB2NE,-14.0227272727273,1,0,1,massey,MIXED,SMASH Boys 14's Thunder,195
B18NEVBC3NE,-14.215465745753201,1,0,1,massey,MIXED,NEVBC Boys 18 Blue,196
B18TTVBC1NE,-14.21546574575321,1,0,1,massey,MIXED,SLAM 18 1 Boys,197
G16CJVBA6GE,-14.33333333333334,1,0,1,massey,MIXED,CJVA 16 Red,198
G14GAJVB3NE,-14.799999999999985,2,1,1,massey,MIXED,Gators 14 White,199
G16NESVC3NE,-14.874999999999613,1,1,0,massey,MIXED,NE Storm 16 Earthquake,200
G16LEGIO3XL,-15.687500000000032,1,0,1,massey,MIXED,TeamLVC 16 White,201
G15RRJVB11NE,-16.54545454545451,1,0,1,massey,MIXED,Boston United 15 Cobalt,202
G17TTVBC2NE,-17.166666666666682,1,0,1,massey,MIXED,SLAM 17P Red,203
G12NSJVB1NE,-17.216049382716243,1,0,1,massey,MIXED,NH Seacoast 12 USA,204
G12PROVA1GE,-17.21604938271631,1,0,1,massey,MIXED,Prodigy 12.1 Club,205
G12112721XX,-17.549382716049276,2,0,2,massey,MIXED,X2 Volleyball 12 1,206
G17118022XX,-17.599999999999937,1,0,1,massey,MIXED,NYCLBVC 17U WHITE,207
G14VERSE2GE,-17.666666666666718,1,0,1,massey,MIXED,NYC Volley Verse 14 Navy,208
G18PVJVB1NE,-17.749999999999954,2,0,2,massey,MIXED,PV 18 National,209
G15117754XX,-17.83333333333338,1,0,1,massey,MIXED,ValleyVBC Blue,210
B18SAVBC1XL,-18.130434782608763,3,0,3,massey,MIXED,Sporting Albany Boys 18u,211
G14GAJVB2NE,-18.590909090908593,7,2,5,massey,MIXED,Gators 14 Green,212
B18BVJVB2NE,-18.714439051708027,2,0,2,massey,MIXED,Blast 18 Blaze,213
G17SPAVB3XL,-19.33333333333332,1,0,1,massey,MIXED,Spa City 17 Coral,214
G18TTVBC2NE,-20.090909090908973,1,0,1,massey,MIXED,SLAM 18R Red,215
G16CSJVB3NE,-20.33333333333332,1,0,1,massey,MIXED,CT STARS 16s Ioanna,216
G18MCJVB3NE,-20.749999999999986,1,0,1,massey,MIXED,Mill City 18 Orange,217
G14SURGE2GE,-21.16666666666674,2,0,2,massey,MIXED,LI Surge 14 Premier White,218
G12CMJVB2NE,-21.549382716049628,1,0,1,massey,MIXED,CMASS EDGE 12 Gray,219
G17CSJVB1NE,-21.599999999999987,1,0,1,massey,MIXED,CT STARS 17s Rony,220
B14CAPIT2XL,-22.022727272727177,1,0,1,massey,MIXED,CSVC 14 SAWTEETH,221
G12HRJVB1NE,-22.21604938271628,1,0,1,massey,MIXED,HardRock 12,222
G12CSJVB1NE,-22.54938271604898,1,0,1,massey,MIXED,CT STARS 12-1,223
G14TTVBC6NE,-23.24999999999982,1,0,1,massey,MIXED,SLAM 14R Crimson,224
G14CACLI6GE,-23.66666666666673,1,0,1,massey,MIXED,CALI 14 Gold South,225
G12RRJVB2NE,-23.88271604938291,2,0,2,massey,MIXED,Boston United 12 Sapphire,226
G14TRICO1GE,-24.166666666666696,2,0,2,massey,MIXED,TriCounty ATTACK 14 1,227
G14TTVBC8NE,-24.249999999999826,1,0,1,massey,MIXED,SLAM 14R Platinum,228
G16SIVBC1NE,-24.87500000000015,1,0,1,massey,MIXED,SISU VB 16 1,229
G16BVJVB3NE,-25.874999999999684,1,1,0,massey,MIXED,Blast 16U Jaguars,230
G16CRJVB1NE,-26.166666666666657,2,0,2,massey,MIXED,CRVBC 16 1 Hawks,231
G12TTVBC3NE,-28.21604938271629,1,0,1,massey,MIXED,SLAM 12R White,232
G16NESVC4NE,-30.874999999999595,1,1,0,massey,MIXED,NE Storm 16 Twister,233
G16TCJVB4NE,-33.54545454545451,1,0,1,massey,MIXED,Nova 16 Regional,234
G16PVJVB3NE,-34.18750000000003,1,0,1,massey,MIXED,PV 16 Select,235
G16MAPVB3NE,-35.500000000000014,1,0,1,massey,MIXED,Mass Power VB 16 Black,236
G15DRVBC3NE,-37.87499999999967,5,0,5,massey,MIXED,Dragons 15 Brian,237
G15SGHVB1NE,-39.09090909090844,2,0,2,massey,MIXED,Starlings GH 15 1,238
