team_code,team_name,club,age,gender,matches_played,checkpoint_count,rolling_start_rating,rolling_end_rating,rolling_rating_delta,rolling_trend_slope,pct_up_steps,pct_down_steps,pct_flat_steps,net_step_movement,expanding_start_rating,expanding_end_rating,expanding_rating_delta,expanding_trend_slope,expanding_pct_up_steps,expanding_pct_down_steps,expanding_pct_flat_steps,expanding_net_step_movement,massey_start_rating,massey_end_rating,massey_rating_delta,massey_rating_slope,massey_trend_raw,massey_trend_z
G17SJJVB1NE,SMASH 17s,SJJVB,17,G,10,6,4.9948576331412635,54.6868684870298,49.69201085388853,9.961478155656932,1.0,0.0,0.0,49.69201085388853,4.9948576331412635,29.840863060085535,24.846005426944274,4.882315622187134,1.0,0.0,0.0,24.846005426944274,5.999999999999993,56.6220190799113,50.622019079911304,7.67615666348849,9.961478155656932,3.5505748658475302
G17LDNER1NE,Lockdown VBC 17 Phoenix,LDNER,17,G,10,6,6.231634927993531,51.26637234719876,45.03473741920523,8.896560829007987,1.0,0.0,0.0,45.03473741920523,6.231634927993531,28.74900363759614,22.517368709602607,4.352780571624659,1.0,0.0,0.0,22.517368709602607,6.5000000000000036,52.442603018781284,45.942603018781284,6.744488823632792,8.896560829007987,3.17746066116012
G17MAVRK1OV,Maverick 17 Maroon,MAVRK,17,G,8,4,25.092515631469563,50.978718641346475,25.886203009876912,8.716074642164568,1.0,0.0,0.0,25.886203009876912,25.092515631469563,35.42419915084168,10.331683519372117,3.444476824154991,1.0,0.0,0.0,10.331683519372117,10.00000000000058,51.95692719041812,41.95692719041754,7.790118662026939,8.716074642164568,3.114223864860584
G18COQUI2PU,BORINQUEN COQUI CPT 2026,COQUI,18,G,7,3,28.208071485186004,45.46148319025319,17.253411705067187,8.626705852533593,1.0,0.0,0.0,17.253411705067187,28.208071485186004,34.68677370732244,6.478702222136434,3.239351111068217,1.0,0.0,0.0,6.478702222136434,11.99999999998778,47.68868687875393,35.68868687876615,8.911128733343189,8.626705852533593,3.08291179580827
G18LCVBC2GE,Legacy 18 National Marcus,LCVBC,18,G,8,4,4.925304427950924,30.58181857947933,25.656514151528405,8.539616324139397,1.0,0.0,0.0,25.656514151528405,4.925304427950924,14.426136612174597,9.500832184223672,3.129367177518504,1.0,0.0,0.0,9.500832184223672,-7.999999999999296,28.706724704681832,36.70672470468113,7.315103736364289,8.539616324139397,3.0523983096340386
G17OCEAN1GE,Ocean Volleyball 17 National Jose,OCEAN,17,G,7,3,6.29275668846207,22.821068297774957,16.528311609312887,8.264155804656443,1.0,0.0,0.0,16.528311609312887,6.29275668846207,13.711477355553699,7.418720667091629,3.7093603335458143,1.0,0.0,0.0,7.418720667091629,-9.999999999999376,31.258530530810642,41.25853053081002,8.818909768820594,8.264155804656443,2.9558854348054515
G18117941XX,X-Performance 17/18,11794,18,G,7,3,6.198455643943795,22.45498600541968,16.256530361475885,8.128265180737943,1.0,0.0,0.0,16.256530361475885,6.198455643943795,13.324990003869415,7.1265343599256195,3.5632671799628097,1.0,0.0,0.0,7.1265343599256195,-12.000000000012097,26.182429918494957,38.182429918507054,8.550434176217832,8.128265180737943,2.908273549075902
G17LHVBC1NE,LHV Girls 17-1 Ignite,LHVBC,17,G,10,6,-9.625757259969436,30.84253809937661,40.468295359346044,8.085990276462867,1.0,0.0,0.0,40.46829535934605,-9.625757259969436,10.608390419703586,20.234147679673022,3.9709550098158712,1.0,0.0,0.0,20.234147679673026,-17.500000000000014,29.103167701694133,46.60316770169415,6.376097216026895,8.085990276462867,2.893461725761442
G18LEGIO1XL,TeamLVC 18 Black,LEGIO,18,G,13,9,-11.752501384060343,47.8703222503886,59.62282363444894,8.053345303610213,1.0,0.0,0.0,59.62282363444894,-11.752501384060343,15.517030677774109,27.269532061834454,3.6430203982677507,1.0,0.0,0.0,27.269532061834454,-11.999999999999995,44.06110300927963,56.06110300927962,6.453185401346724,8.053345303610213,2.882023933570297
G17SPAVB1XL,Spa City 17 Aqua,SPAVB,17,G,12,8,-3.790831516942846,46.86840748439466,50.659239001337504,8.010799515305848,1.0,0.0,0.0,50.659239001337504,-3.790831516942846,21.881769265368508,25.672600782311353,3.9169346278656914,1.0,0.0,0.0,25.672600782311353,-10.999999999999941,48.38715958434121,59.387159584341155,6.7961188000856625,8.010799515305848,2.8671172008420998
