pool_key,local_accuracy_pct,usav_national_accuracy_pct,usav_regional_accuracy_pct,local_picks_made,usav_national_picks_made,usav_regional_picks_made,event_name,model,local_edge_vs_usav_national_pp,local_edge_vs_usav_regional_pp,recommended_seed_source
G12,86.95652173913044,66.66666666666666,55.55555555555556,46,9,9,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G13,88.77551020408163,56.75675675675676,50.0,98,37,28,AAUSpringKickOff26,massey,32.01875344732487,38.77551020408163,local
G14,81.35593220338984,81.3953488372093,75.0,177,43,36,AAUSpringKickOff26,massey,-0.03941663381945659,6.355932203389841,usav_national
G15,80.61674008810573,64.0,65.625,227,75,64,AAUSpringKickOff26,massey,16.61674008810573,14.991740088105729,local
G16,84.58149779735683,62.88659793814433,58.51063829787234,227,97,94,AAUSpringKickOff26,massey,21.694899859212505,26.07085949948449,local
G17,83.33333333333334,58.46153846153847,67.6923076923077,132,65,65,AAUSpringKickOff26,massey,24.871794871794876,15.64102564102565,local
G18,85.08771929824562,60.317460317460316,64.0,114,63,50,AAUSpringKickOff26,massey,24.7702589807853,21.087719298245617,local
