event_date,team_code,team_name,club,age,team_rank,opponent_code,opponent_name,pool_key,team_won,point_margin_for_team,set_margin_for_team,team_rating,opponent_rating,rating_gap,expected_win_prob,performance_above_expected,is_close_match,rolling_win_rate,rolling_point_margin,rolling_set_margin,rolling_opponent_rating,rolling_expected_win_prob,rolling_performance_above_expected,rolling_close_match_win_rate,match_index
2026-03-15,B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,1,B14CAPIT1XL,CSVC 14 CASCADE,MIXED,True,11.0,1.0,1.9772727272727457,-11.522727272727305,13.500000000000052,0.6406448856253014,0.3593551143746986,False,0.4,-3.2,-0.4,1.427272727272689,0.5059422404162605,-0.10594224041626041,0.0,16
2025-11-22,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,True,19.0,2.0,10.47727272727267,-4.575157606275895,15.052430333548564,0.6677294276571074,0.3322705723428926,False,1.0,19.0,2.0,-4.575157606275895,0.6677294276571074,0.3322705723428926,,1
2025-11-22,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14RRJVB1NE,Boston United Boys 14-1,B14,True,24.0,2.0,10.47727272727267,12.977272727272686,-2.500000000000016,0.4710531387223988,0.5289468612776012,True,1.0,21.5,2.0,4.201057560498395,0.5693912831897531,0.43060871681024687,1.0,2
2025-11-22,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14MVPVA1NE,MVP BOS 14 Black,B14,True,15.0,2.0,10.47727272727267,-6.534967352925783,17.012240080198453,0.6875743800293254,0.31242561997067464,False,1.0,19.333333333333332,2.0,0.6223825893570029,0.6087856488029438,0.3912143511970561,1.0,3
2025-11-22,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14TACCU1GE,Accuracy 14 Champ,B14,False,-24.0,-2.0,10.47727272727267,12.9906799138899,-2.513407186617231,0.47089825023223136,-0.47089825023223136,True,0.75,8.5,1.0,3.7144569204902274,0.5743137991602657,0.17568620083973424,0.5,4
2025-11-23,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,True,8.0,2.0,10.47727272727267,-4.575157606275895,15.052430333548564,0.6677294276571074,0.3322705723428926,False,0.8,8.4,1.2,2.056534015137003,0.5929969248596341,0.20700307514036592,0.5,5
2025-11-23,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14TACCU1GE,Accuracy 14 Champ,B14,True,5.0,1.0,10.47727272727267,12.9906799138899,-2.513407186617231,0.47089825023223136,0.5291017497677686,True,0.8,5.6,1.0,5.569701519170161,0.5536306893746589,0.24636931062534115,0.6666666666666666,6
2026-01-17,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14MVPVA1NE,MVP BOS 14 Black,B14,True,8.0,1.0,10.47727272727267,-6.534967352925783,17.012240080198453,0.6875743800293254,0.31242561997067464,False,0.8,2.4,0.8,1.6672535031304683,0.5969349376360441,0.20306506236395583,0.5,7
2026-01-17,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,True,17.0,2.0,10.47727272727267,-22.022727272727153,32.49999999999982,0.8186045798547795,0.18139542014522048,False,0.8,2.8,0.8,-1.4302984808298056,0.6231409776011351,0.176859022398865,0.5,8
2026-01-17,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14CAPIT1XL,CSVC 14 CASCADE,B14,True,14.0,2.0,10.47727272727267,-11.522727272727305,21.999999999999975,0.7349862710198017,0.26501372898019826,False,1.0,10.4,1.6,-6.332979918153248,0.6759585817586491,0.32404141824135096,1.0,9
2026-01-18,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,True,18.0,2.0,10.47727272727267,-4.575157606275895,15.052430333548564,0.6677294276571074,0.3322705723428926,False,1.0,12.4,1.6,-6.332979918153247,0.6759585817586491,0.3240414182413509,1.0,10
2026-01-18,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14RRJVB1NE,Boston United Boys 14-1,B14,True,8.0,1.0,10.47727272727267,12.977272727272686,-2.500000000000016,0.4710531387223988,0.5289468612776012,True,1.0,13.0,1.6,-6.33566135547669,0.6759895594566825,0.3240104405433174,1.0,11
2026-01-19,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14CAPIT1XL,CSVC 14 CASCADE,B14,True,4.0,2.0,10.47727272727267,-11.522727272727305,21.999999999999975,0.7349862710198017,0.26501372898019826,False,1.0,12.2,1.8,-7.333213339436995,0.6854719376547778,0.3145280623452221,1.0,12
2026-01-19,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14RRJVB1NE,Boston United Boys 14-1,B14,True,20.0,1.0,10.47727272727267,12.977272727272686,-2.500000000000016,0.4710531387223988,0.5289468612776012,True,1.0,12.8,1.6,-0.333213339437027,0.6159616494283017,0.38403835057169833,1.0,13
2026-01-31,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,True,17.0,3.0,10.47727272727267,-4.575157606275895,15.052430333548564,0.6677294276571074,0.3322705723428926,False,1.0,13.4,1.8,1.056300593853255,0.6025102807557629,0.39748971924423715,1.0,14
2026-01-31,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14SJJVB1NE,SMASH Boys 14-1,B14,False,-26.0,-3.0,10.47727272727267,23.97727272727283,-13.50000000000016,0.34842893867853725,-0.34842893867853725,False,0.8,4.6,0.8,6.766786660563,0.5386501829600487,0.2613498170399512,1.0,15
2026-02-01,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B13SJJVB1NE,SMASH Boys 13-1,MIXED,True,16.0,1.0,10.47727272727267,1.9772727272727457,8.499999999999924,0.5900154695925052,0.40998453040749483,False,0.8,6.2,0.8,4.566786660563013,0.5624426491340702,0.23755735086592994,1.0,16
2026-02-01,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14NEVBC1NE,NEVBC Boys 14.1,B14,False,-17.0,-2.0,10.47727272727267,19.977272727272666,-9.499999999999996,0.3916254443349601,-0.3916254443349601,False,0.6,2.0,0.0,10.866786660563005,0.4937704837971017,0.10622951620289825,1.0,17
2026-03-14,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14RRJVB2NE,Boston United Boys 13 Select 1,B14,True,19.0,2.0,10.47727272727267,-13.522727272727249,23.99999999999992,0.7526514645549084,0.2473485354450916,False,0.6,1.8,0.2,5.56678666056302,0.5500901489636036,0.049909851036396335,,18
2026-03-14,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B13SJJVB1NE,SMASH Boys 13-1,MIXED,True,1.0,1.0,10.47727272727267,1.9772727272727457,8.499999999999924,0.5900154695925052,0.40998453040749483,False,0.6,-1.4,-0.2,6.877272727272748,0.5345473573506833,0.06545264264931679,,19
2026-03-14,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14SAVBC1XL,Sporting Albany Boys 14u,B14,False,-7.0,-1.0,10.47727272727267,1.727272727272661,8.750000000000009,0.6000587087483903,-0.6000587087483903,False,0.6,2.4,0.2,2.427272727272714,0.5848733113646538,0.015126688635346164,,20
2026-03-15,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14RRJVB1NE,Boston United Boys 14-1,B14,True,-1.0,1.0,10.47727272727267,12.977272727272686,-2.500000000000016,0.4710531387223988,0.5289468612776012,True,0.6,-1.0,0.2,4.627272727272702,0.5610808451906325,0.03891915480936744,1.0,21
2026-03-15,B14117752XX,ValleyVBC Elite Boys,11775,14,2,B14SJJVB1NE,SMASH Boys 14-1,B14,False,-19.0,-2.0,10.47727272727267,23.97727272727283,-13.50000000000016,0.34842893867853725,-0.34842893867853725,False,0.6,-1.4,0.2,5.427272727272735,0.552441544059348,0.047558455940652014,1.0,22
2026-02-06,B14117901XX,Torrimar 14 1,11790,14,1,B14MVPVA1NE,MVP BOS 14 Black,B14,True,27.0,2.0,20.918751384386127,-6.534967352925783,27.45371873731191,0.7812459230102193,0.21875407698978067,False,1.0,27.0,2.0,-6.534967352925783,0.7812459230102193,0.21875407698978067,,1
2026-02-06,B14117901XX,Torrimar 14 1,11790,14,1,B14SPTMC3GE,Sportime 14 3,B14,True,28.0,2.0,20.918751384386127,-13.787497220304692,34.70624860469082,0.8333028731945868,0.16669712680541315,False,1.0,27.5,2.0,-10.161232286615238,0.8072743981024031,0.1927256018975969,,2
2026-02-06,B14117901XX,Torrimar 14 1,11790,14,1,B14TACCU1GE,Accuracy 14 Champ,B14,True,21.0,2.0,20.918751384386127,12.9906799138899,7.928071470496226,0.5908788098141152,0.4091211901858848,False,1.0,25.333333333333332,2.0,-2.4439282197801915,0.7351425353396405,0.26485746466035953,,3
2026-02-07,B14117901XX,Torrimar 14 1,11790,14,1,B14ROCVC1GE,Rockland VBC 14 1,B14,True,39.0,2.0,20.918751384386127,-15.592490558657936,36.51124194304406,0.8446065262398336,0.15539347376016643,False,1.0,28.75,2.0,-5.731068804499627,0.7625085330646888,0.23749146693531126,,4
2026-02-07,B14117901XX,Torrimar 14 1,11790,14,1,B14SPTMC2GE,Sportime 14 2,B14,True,28.0,2.0,20.918751384386127,-5.850380343414969,26.769131727801096,0.7757727690766902,0.22422723092330976,False,1.0,28.6,2.0,-5.754931112282696,0.7651613802670891,0.23483861973291095,,5
2026-02-07,B14117901XX,Torrimar 14 1,11790,14,1,B14CAPIT1XL,CSVC 14 CASCADE,B14,True,31.0,2.0,20.918751384386127,-11.522727272727305,32.441478657113436,0.8182013083865063,0.1817986916134937,False,1.0,29.4,2.0,-6.752483096243,0.7725524573423463,0.22744754265765357,,6
2026-02-08,B14117901XX,Torrimar 14 1,11790,14,1,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14,False,-18.0,-2.0,20.918751384386127,27.127429440534108,-6.208678056147981,0.428523765431697,-0.428523765431697,True,0.8,20.2,1.2,1.4305022359247601,0.6915966357897685,0.10840336421023153,0.0,7
2025-12-20,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14SJJVB1NE,SMASH Boys 14-1,B14,False,-22.0,-2.0,-11.522727272727305,23.97727272727283,-35.500000000000135,0.16164726542048657,-0.16164726542048657,False,0.0,-22.0,-2.0,23.97727272727283,0.16164726542048657,-0.16164726542048657,,1
2025-12-20,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B13SJJVB1NE,SMASH Boys 13-1,MIXED,False,-16.0,-2.0,-11.522727272727305,1.9772727272727457,-13.500000000000052,0.3593551143746986,-0.3593551143746986,False,0.0,-19.0,-2.0,12.977272727272787,0.2605011898975926,-0.2605011898975926,,2
2025-12-20,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,False,-9.0,-2.0,-11.522727272727305,-14.022727272727261,2.4999999999999556,0.5289468612776005,-0.5289468612776005,True,0.0,-15.666666666666666,-2.0,3.9772727272727715,0.3499830803575952,-0.3499830803575952,0.0,3
2025-12-20,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,False,-10.0,-2.0,-11.522727272727305,-22.022727272727153,10.499999999999847,0.6193644888199767,-0.6193644888199767,False,0.0,-14.25,-2.0,-2.5227272727272094,0.4173284324731906,-0.4173284324731906,0.0,4
2025-12-21,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14SAVBC1XL,Sporting Albany Boys 14u,B14,False,-25.0,-2.0,-11.522727272727305,1.727272727272661,-13.249999999999966,0.35106516219303824,-0.35106516219303824,False,0.0,-16.4,-2.0,-1.6727272727272353,0.40407577841716014,-0.40407577841716014,0.0,5
2025-12-21,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,False,-9.0,-1.0,-11.522727272727305,-22.022727272727153,10.499999999999847,0.6193644888199767,-0.6193644888199767,False,0.0,-13.8,-1.8,-10.872727272727232,0.4956192230970581,-0.4956192230970581,0.0,6
