pair_id,team_a_code,team_a_name,team_b_code,team_b_name,pool_key,event_date,Event,source_file,source_row_number,winner_code,winner_name,point_margin_team_a,set_margin_team_a,meeting_number
B14117752XX__B14LHVBC1NE,B14117752XX,ValleyVBC Elite Boys,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2025-11-23,25AAUSeasonOpener,25AAUSeasonOpener-results-for-GEVA-1767074706771.xlsx,107,B14117752XX,ValleyVBC Elite Boys,8.0,2.0,2
B14117752XX__B14LHVBC1NE,B14117752XX,ValleyVBC Elite Boys,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-01-18,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,87,B14117752XX,ValleyVBC Elite Boys,18.0,2.0,3
B14117752XX__B14LHVBC1NE,B14117752XX,ValleyVBC Elite Boys,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-01-31,AAUGrandPrixOne2026,GrandPrix1_Boys - Sheet1.csv,6,B14117752XX,ValleyVBC Elite Boys,17.0,3.0,4
B14117752XX__B14MVPVA1NE,B14117752XX,ValleyVBC Elite Boys,B14MVPVA1NE,MVP BOS 14 Black,B14,2025-11-22,25AAUSeasonOpener,25AAUSeasonOpener-results-for-GEVA-1767074706771.xlsx,7,B14117752XX,ValleyVBC Elite Boys,15.0,2.0,1
B14117752XX__B14MVPVA1NE,B14117752XX,ValleyVBC Elite Boys,B14MVPVA1NE,MVP BOS 14 Black,B14,2026-01-17,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,3,B14117752XX,ValleyVBC Elite Boys,8.0,1.0,2
B14117752XX__B14NEVBC1NE,B14117752XX,ValleyVBC Elite Boys,B14NEVBC1NE,NEVBC Boys 14.1,B14,2026-02-01,AAUGrandPrixOne2026,GrandPrix1_Boys - Sheet1.csv,11,B14NEVBC1NE,NEVBC Boys 14.1,-17.0,-2.0,1
B14117752XX__B14RRJVB1NE,B14117752XX,ValleyVBC Elite Boys,B14RRJVB1NE,Boston United Boys 14-1,B14,2025-11-22,25AAUSeasonOpener,25AAUSeasonOpener-results-for-GEVA-1767074706771.xlsx,4,B14117752XX,ValleyVBC Elite Boys,24.0,2.0,1
B14117752XX__B14RRJVB1NE,B14117752XX,ValleyVBC Elite Boys,B14RRJVB1NE,Boston United Boys 14-1,B14,2026-01-18,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,88,B14117752XX,ValleyVBC Elite Boys,8.0,1.0,2
B14117752XX__B14RRJVB1NE,B14117752XX,ValleyVBC Elite Boys,B14RRJVB1NE,Boston United Boys 14-1,B14,2026-01-19,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,170,B14117752XX,ValleyVBC Elite Boys,20.0,1.0,3
B14117752XX__B14RRJVB1NE,B14117752XX,ValleyVBC Elite Boys,B14RRJVB1NE,Boston United Boys 14-1,B14,2026-03-15,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,142,B14117752XX,ValleyVBC Elite Boys,-1.0,1.0,4
B14117752XX__B14RRJVB2NE,B14117752XX,ValleyVBC Elite Boys,B14RRJVB2NE,Boston United Boys 13 Select 1,B14,2026-03-14,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,4,B14117752XX,ValleyVBC Elite Boys,19.0,2.0,1
B14117752XX__B14SAVBC1XL,B14117752XX,ValleyVBC Elite Boys,B14SAVBC1XL,Sporting Albany Boys 14u,B14,2026-03-14,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,14,B14SAVBC1XL,Sporting Albany Boys 14u,-7.0,-1.0,1
B14117752XX__B14SJJVB1NE,B14117752XX,ValleyVBC Elite Boys,B14SJJVB1NE,SMASH Boys 14-1,B14,2026-01-31,AAUGrandPrixOne2026,GrandPrix1_Boys - Sheet1.csv,22,B14SJJVB1NE,SMASH Boys 14-1,-26.0,-3.0,1
B14117752XX__B14SJJVB1NE,B14117752XX,ValleyVBC Elite Boys,B14SJJVB1NE,SMASH Boys 14-1,B14,2026-03-15,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,151,B14SJJVB1NE,SMASH Boys 14-1,-19.0,-2.0,2
B14117752XX__B14TACCU1GE,B14117752XX,ValleyVBC Elite Boys,B14TACCU1GE,Accuracy 14 Champ,B14,2025-11-22,25AAUSeasonOpener,25AAUSeasonOpener-results-for-GEVA-1767074706771.xlsx,10,B14TACCU1GE,Accuracy 14 Champ,-24.0,-2.0,1
B14117752XX__B14TACCU1GE,B14117752XX,ValleyVBC Elite Boys,B14TACCU1GE,Accuracy 14 Champ,B14,2025-11-23,25AAUSeasonOpener,25AAUSeasonOpener-results-for-GEVA-1767074706771.xlsx,111,B14117752XX,ValleyVBC Elite Boys,5.0,1.0,2
B14117901XX__B14CAPIT1XL,B14117901XX,Torrimar 14 1,B14CAPIT1XL,CSVC 14 CASCADE,B14,2026-02-07,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,825,B14117901XX,Torrimar 14 1,31.0,2.0,1
B14117901XX__B14COQUI1PU,B14117901XX,Torrimar 14 1,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14,2026-02-08,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,1491,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,-18.0,-2.0,1
B14117901XX__B14MVPVA1NE,B14117901XX,Torrimar 14 1,B14MVPVA1NE,MVP BOS 14 Black,B14,2026-02-06,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,91,B14117901XX,Torrimar 14 1,27.0,2.0,1
B14117901XX__B14ROCVC1GE,B14117901XX,Torrimar 14 1,B14ROCVC1GE,Rockland VBC 14 1,B14,2026-02-07,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,813,B14117901XX,Torrimar 14 1,39.0,2.0,1
B14117901XX__B14SPTMC2GE,B14117901XX,Torrimar 14 1,B14SPTMC2GE,Sportime 14 2,B14,2026-02-07,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,820,B14117901XX,Torrimar 14 1,28.0,2.0,1
B14117901XX__B14SPTMC3GE,B14117901XX,Torrimar 14 1,B14SPTMC3GE,Sportime 14 3,B14,2026-02-06,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,96,B14117901XX,Torrimar 14 1,28.0,2.0,1
B14117901XX__B14TACCU1GE,B14117901XX,Torrimar 14 1,B14TACCU1GE,Accuracy 14 Champ,B14,2026-02-06,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,102,B14117901XX,Torrimar 14 1,21.0,2.0,1
B14CAPIT1XL__B14CAPIT2XL,B14CAPIT1XL,CSVC 14 CASCADE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,2025-12-20,AAUUpstateCup2026,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,10,B14CAPIT2XL,CSVC 14 SAWTEETH,-10.0,-2.0,1
B14CAPIT1XL__B14CAPIT2XL,B14CAPIT1XL,CSVC 14 CASCADE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,2025-12-21,AAUUpstateCup2026,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,68,B14CAPIT2XL,CSVC 14 SAWTEETH,-9.0,-1.0,2
B14CAPIT1XL__B14CAPIT2XL,B14CAPIT1XL,CSVC 14 CASCADE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,2026-01-17,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,4,B14CAPIT2XL,CSVC 14 SAWTEETH,-1.0,-1.0,3
B14CAPIT1XL__B14COQUI1PU,B14CAPIT1XL,CSVC 14 CASCADE,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14,2026-02-06,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,104,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,-31.0,-2.0,1
B14CAPIT1XL__B14HKJVB1NE,B14CAPIT1XL,CSVC 14 CASCADE,B14HKJVB1NE,Husky 14.1,B14,2026-03-14,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,7,B14CAPIT1XL,CSVC 14 CASCADE,0.0,1.0,1
B14CAPIT1XL__B14LCVBC1GE,B14CAPIT1XL,CSVC 14 CASCADE,B14LCVBC1GE,Legacy Boys 14 Premier,B14,2026-02-07,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,814,B14CAPIT1XL,CSVC 14 CASCADE,3.0,1.0,1
B14CAPIT1XL__B14LHVBC1NE,B14CAPIT1XL,CSVC 14 CASCADE,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-01-17,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,8,B14CAPIT1XL,CSVC 14 CASCADE,10.0,2.0,1
B14CAPIT1XL__B14LHVBC1NE,B14CAPIT1XL,CSVC 14 CASCADE,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-02-08,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,1492,B14LHVBC1NE,LHV Boys 14-1 Premier,-6.0,-1.0,2
B14CAPIT1XL__B14LIFRY1GE,B14CAPIT1XL,CSVC 14 CASCADE,B14LIFRY1GE,LI Fury 14 1,B14,2026-02-06,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,98,B14LIFRY1GE,LI Fury 14 1,0.0,-1.0,1
B14CAPIT1XL__B14MVPVA1NE,B14CAPIT1XL,CSVC 14 CASCADE,B14MVPVA1NE,MVP BOS 14 Black,B14,2026-01-18,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,90,B14CAPIT1XL,CSVC 14 CASCADE,12.0,2.0,1
B14CAPIT1XL__B14ROCVC1GE,B14CAPIT1XL,CSVC 14 CASCADE,B14ROCVC1GE,Rockland VBC 14 1,B14,2026-02-06,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,92,B14CAPIT1XL,CSVC 14 CASCADE,21.0,2.0,1
B14CAPIT1XL__B14RRJVB1NE,B14CAPIT1XL,CSVC 14 CASCADE,B14RRJVB1NE,Boston United Boys 14-1,B14,2026-01-17,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,2,B14RRJVB1NE,Boston United Boys 14-1,-7.0,-1.0,1
B14CAPIT1XL__B14RRJVB1NE,B14CAPIT1XL,CSVC 14 CASCADE,B14RRJVB1NE,Boston United Boys 14-1,B14,2026-01-19,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,168,B14RRJVB1NE,Boston United Boys 14-1,-14.0,-1.0,2
B14CAPIT1XL__B14SAVBC1XL,B14CAPIT1XL,CSVC 14 CASCADE,B14SAVBC1XL,Sporting Albany Boys 14u,B14,2025-12-21,AAUUpstateCup2026,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,66,B14SAVBC1XL,Sporting Albany Boys 14u,-25.0,-2.0,1
B14CAPIT1XL__B14SAVBC1XL,B14CAPIT1XL,CSVC 14 CASCADE,B14SAVBC1XL,Sporting Albany Boys 14u,B14,2026-03-15,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,144,B14SAVBC1XL,Sporting Albany Boys 14u,-15.0,-2.0,2
B14CAPIT1XL__B14SJJVB1NE,B14CAPIT1XL,CSVC 14 CASCADE,B14SJJVB1NE,SMASH Boys 14-1,B14,2025-12-20,AAUUpstateCup2026,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,2,B14SJJVB1NE,SMASH Boys 14-1,-22.0,-2.0,1
B14CAPIT1XL__B14SJJVB1NE,B14CAPIT1XL,CSVC 14 CASCADE,B14SJJVB1NE,SMASH Boys 14-1,B14,2026-03-14,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,11,B14SJJVB1NE,SMASH Boys 14-1,-33.0,-3.0,2
B14CAPIT1XL__B14SJJVB2NE,B14CAPIT1XL,CSVC 14 CASCADE,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,2025-12-20,AAUUpstateCup2026,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,7,B14SJJVB2NE,SMASH Boys 14's Thunder,-9.0,-2.0,1
B14CAPIT1XL__B14TACCU1GE,B14CAPIT1XL,CSVC 14 CASCADE,B14TACCU1GE,Accuracy 14 Champ,B14,2026-02-07,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,815,B14TACCU1GE,Accuracy 14 Champ,-14.0,-2.0,1
B14CAPIT2XL__B14HKJVB1NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14HKJVB1NE,Husky 14.1,B14,2026-03-15,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,143,B14HKJVB1NE,Husky 14.1,1.0,-1.0,1
B14CAPIT2XL__B14LHVBC1NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-01-18,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,89,B14LHVBC1NE,LHV Boys 14-1 Premier,-10.0,-2.0,1
B14CAPIT2XL__B14LHVBC1NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-01-19,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,167,B14LHVBC1NE,LHV Boys 14-1 Premier,-10.0,-1.0,2
B14CAPIT2XL__B14MVPVA1NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14MVPVA1NE,MVP BOS 14 Black,B14,2026-01-17,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,9,B14MVPVA1NE,MVP BOS 14 Black,-8.0,-2.0,1
B14CAPIT2XL__B14MVPVA1NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14MVPVA1NE,MVP BOS 14 Black,B14,2026-01-19,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,169,B14MVPVA1NE,MVP BOS 14 Black,-18.0,-2.0,2
B14CAPIT2XL__B14NEVBC1NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14NEVBC1NE,NEVBC Boys 14.1,B14,2026-03-14,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,6,B14NEVBC1NE,NEVBC Boys 14.1,-32.0,-2.0,1
B14CAPIT2XL__B14RRJVB1NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14RRJVB1NE,Boston United Boys 14-1,B14,2026-01-18,26NEAAUMLK,26NEAAUMLK-results-for-GEVA-1769543142162.xlsx,86,B14RRJVB1NE,Boston United Boys 14-1,-18.0,-2.0,1
B14CAPIT2XL__B14RRJVB1NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14RRJVB1NE,Boston United Boys 14-1,B14,2026-03-14,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,5,B14RRJVB1NE,Boston United Boys 14-1,-19.0,-2.0,2
B14CAPIT2XL__B14RRJVB2NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14RRJVB2NE,Boston United Boys 13 Select 1,B14,2026-03-15,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,145,B14RRJVB2NE,Boston United Boys 13 Select 1,6.0,-1.0,1
B14CAPIT2XL__B14SAVBC1XL,B14CAPIT2XL,CSVC 14 SAWTEETH,B14SAVBC1XL,Sporting Albany Boys 14u,B14,2025-12-20,AAUUpstateCup2026,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,3,B14SAVBC1XL,Sporting Albany Boys 14u,-23.0,-2.0,1
B14CAPIT2XL__B14SJJVB1NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14SJJVB1NE,SMASH Boys 14-1,B14,2025-12-21,AAUUpstateCup2026,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,64,B14SJJVB1NE,SMASH Boys 14-1,-31.0,-2.0,1
B14CAPIT2XL__B14SJJVB2NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,2025-12-21,AAUUpstateCup2026,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,62,B14SJJVB2NE,SMASH Boys 14's Thunder,-11.0,-2.0,1
B14CAPIT2XL__B14SJJVB2NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,2025-12-21,AAUUpstateCup2026,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,69,B14SJJVB2NE,SMASH Boys 14's Thunder,-7.0,-2.0,2
B14CAPIT2XL__B14SJJVB2NE,B14CAPIT2XL,CSVC 14 SAWTEETH,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,2026-03-14,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,12,B14SJJVB2NE,SMASH Boys 14's Thunder,-4.0,-1.0,3
B14COQUI1PU__B14CORE11GE,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14CORE11GE,CORE Boys 14 Platinum,B14,2026-02-08,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,1494,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,18.0,2.0,1
B14COQUI1PU__B14LHVBC1NE,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-02-07,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,818,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,30.0,2.0,1
B14COQUI1PU__B14LIFRY1GE,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14LIFRY1GE,LI Fury 14 1,B14,2026-02-06,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,88,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,29.0,2.0,1
B14COQUI1PU__B14MVPVA1NE,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14MVPVA1NE,MVP BOS 14 Black,B14,2026-02-07,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,826,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,41.0,2.0,1
B14COQUI1PU__B14ROCVC1GE,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14ROCVC1GE,Rockland VBC 14 1,B14,2026-02-06,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,93,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,36.0,2.0,1
B14COQUI1PU__B14SPTMC3GE,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14SPTMC3GE,Sportime 14 3,B14,2026-02-07,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,811,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,40.0,2.0,1
B14CORE11GE__B14LCVBC1GE,B14CORE11GE,CORE Boys 14 Platinum,B14LCVBC1GE,Legacy Boys 14 Premier,B14,2026-02-06,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,103,B14CORE11GE,CORE Boys 14 Platinum,21.0,2.0,1
B14CORE11GE__B14LHVBC1NE,B14CORE11GE,CORE Boys 14 Platinum,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-02-06,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,95,B14CORE11GE,CORE Boys 14 Platinum,9.0,2.0,1
B14CORE11GE__B14LHVBC1NE,B14CORE11GE,CORE Boys 14 Platinum,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-02-07,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,824,B14CORE11GE,CORE Boys 14 Platinum,19.0,2.0,2
B14CORE11GE__B14LIFRY1GE,B14CORE11GE,CORE Boys 14 Platinum,B14LIFRY1GE,LI Fury 14 1,B14,2026-02-07,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,819,B14CORE11GE,CORE Boys 14 Platinum,25.0,2.0,1
B14CORE11GE__B14MVPVA1NE,B14CORE11GE,CORE Boys 14 Platinum,B14MVPVA1NE,MVP BOS 14 Black,B14,2026-02-07,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,810,B14CORE11GE,CORE Boys 14 Platinum,24.0,2.0,1
B14CORE11GE__B14SPTMC2GE,B14CORE11GE,CORE Boys 14 Platinum,B14SPTMC2GE,Sportime 14 2,B14,2026-02-06,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,89,B14CORE11GE,CORE Boys 14 Platinum,28.0,2.0,1
B14CORE11GE__B14TACCU1GE,B14CORE11GE,CORE Boys 14 Platinum,B14TACCU1GE,Accuracy 14 Champ,B14,2026-02-08,New York City Open,New-York-City-Open-results-for-GEVA-1770824911008.xlsx,1489,B14CORE11GE,CORE Boys 14 Platinum,16.0,2.0,1
B14HKJVB1NE__B14MVPVA1NE,B14HKJVB1NE,Husky 14.1,B14MVPVA1NE,MVP BOS 14 Black,B14,2026-02-01,AAUGrandPrixOne2026,GrandPrix1_Boys - Sheet1.csv,5,B14MVPVA1NE,MVP BOS 14 Black,-14.0,-2.0,1
