team_code,team_name,club,age,opponent_code,opponent_name,pool_key,meetings_count,first_meeting_date,latest_meeting_date,first_result,latest_result,winner_changed,first_point_margin,latest_point_margin,point_margin_shift,point_margin_slope,performance_slope,win_rate
B14117901XX,Torrimar 14 1,11790,14,B14SPTMC3GE,Sportime 14 3,B14,1,2026-02-06,2026-02-06,W,W,False,28.0,28.0,0.0,0.0,0.0,1.0
B14117901XX,Torrimar 14 1,11790,14,B14TACCU1GE,Accuracy 14 Champ,B14,1,2026-02-06,2026-02-06,W,W,False,21.0,21.0,0.0,0.0,0.0,1.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2,2026-01-17,2026-02-08,W,L,True,10.0,-6.0,-16.0,-16.0,-1.0,0.5
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14117752XX,ValleyVBC Elite Boys,B14,2,2026-01-17,2026-01-19,L,L,False,-14.0,-4.0,10.0,10.0,0.0,0.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14SAVBC1XL,Sporting Albany Boys 14u,B14,2,2025-12-21,2026-03-15,L,L,False,-25.0,-15.0,10.0,10.0,0.0,0.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B13SJJVB1NE,SMASH Boys 13-1,MIXED,2,2025-12-20,2026-03-15,L,L,False,-16.0,-11.0,5.0,5.0,0.0,0.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,3,2025-12-20,2026-01-17,L,L,False,-10.0,-1.0,9.0,4.5,0.0,0.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14117901XX,Torrimar 14 1,B14,1,2026-02-07,2026-02-07,L,L,False,-31.0,-31.0,0.0,0.0,0.0,0.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14,1,2026-02-06,2026-02-06,L,L,False,-31.0,-31.0,0.0,0.0,0.0,0.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14HKJVB1NE,Husky 14.1,B14,1,2026-03-14,2026-03-14,W,W,False,0.0,0.0,0.0,0.0,0.0,1.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14LCVBC1GE,Legacy Boys 14 Premier,B14,1,2026-02-07,2026-02-07,W,W,False,3.0,3.0,0.0,0.0,0.0,1.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14LIFRY1GE,LI Fury 14 1,B14,1,2026-02-06,2026-02-06,L,L,False,0.0,0.0,0.0,0.0,0.0,0.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14MVPVA1NE,MVP BOS 14 Black,B14,1,2026-01-18,2026-01-18,W,W,False,12.0,12.0,0.0,0.0,0.0,1.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14ROCVC1GE,Rockland VBC 14 1,B14,1,2026-02-06,2026-02-06,W,W,False,21.0,21.0,0.0,0.0,0.0,1.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,1,2025-12-20,2025-12-20,L,L,False,-9.0,-9.0,0.0,0.0,0.0,0.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14TACCU1GE,Accuracy 14 Champ,B14,1,2026-02-07,2026-02-07,L,L,False,-14.0,-14.0,0.0,0.0,0.0,0.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14RRJVB1NE,Boston United Boys 14-1,B14,2,2026-01-17,2026-01-19,L,L,False,-7.0,-14.0,-7.0,-7.0,0.0,0.0
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14SJJVB1NE,SMASH Boys 14-1,B14,2,2025-12-20,2026-03-14,L,L,False,-22.0,-33.0,-11.0,-11.0,0.0,0.0
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,3,2025-12-21,2026-03-14,L,L,False,-11.0,-4.0,7.0,3.5,0.0,0.0
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2,2026-01-18,2026-01-19,L,L,False,-10.0,-10.0,0.0,0.0,0.0,0.0
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B13SJJVB1NE,SMASH Boys 13-1,MIXED,1,2025-12-20,2025-12-20,L,L,False,-24.0,-24.0,0.0,0.0,0.0,0.0
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14117752XX,ValleyVBC Elite Boys,B14,1,2026-01-17,2026-01-17,L,L,False,-17.0,-17.0,0.0,0.0,0.0,0.0
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14HKJVB1NE,Husky 14.1,B14,1,2026-03-15,2026-03-15,L,L,False,1.0,1.0,0.0,0.0,0.0,0.0
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14NEVBC1NE,NEVBC Boys 14.1,B14,1,2026-03-14,2026-03-14,L,L,False,-32.0,-32.0,0.0,0.0,0.0,0.0
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14RRJVB2NE,Boston United Boys 13 Select 1,B14,1,2026-03-15,2026-03-15,L,L,False,6.0,6.0,0.0,0.0,0.0,0.0
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14SAVBC1XL,Sporting Albany Boys 14u,B14,1,2025-12-20,2025-12-20,L,L,False,-23.0,-23.0,0.0,0.0,0.0,0.0
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14SJJVB1NE,SMASH Boys 14-1,B14,1,2025-12-21,2025-12-21,L,L,False,-31.0,-31.0,0.0,0.0,0.0,0.0
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14RRJVB1NE,Boston United Boys 14-1,B14,2,2026-01-18,2026-03-14,L,L,False,-18.0,-19.0,-1.0,-1.0,0.0,0.0
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14CAPIT1XL,CSVC 14 CASCADE,B14,3,2025-12-20,2026-01-17,W,W,False,10.0,1.0,-9.0,-4.5,0.0,1.0
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14MVPVA1NE,MVP BOS 14 Black,B14,2,2026-01-17,2026-01-19,L,L,False,-8.0,-18.0,-10.0,-10.0,0.0,0.0
B14COQUI1PU,BORINQUEN COQUI 14M Pirito,COQUI,14,B14117901XX,Torrimar 14 1,B14,1,2026-02-08,2026-02-08,W,W,False,18.0,18.0,0.0,0.0,0.0,1.0
B14COQUI1PU,BORINQUEN COQUI 14M Pirito,COQUI,14,B14CAPIT1XL,CSVC 14 CASCADE,B14,1,2026-02-06,2026-02-06,W,W,False,31.0,31.0,0.0,0.0,0.0,1.0
B14COQUI1PU,BORINQUEN COQUI 14M Pirito,COQUI,14,B14CORE11GE,CORE Boys 14 Platinum,B14,1,2026-02-08,2026-02-08,W,W,False,18.0,18.0,0.0,0.0,0.0,1.0
B14COQUI1PU,BORINQUEN COQUI 14M Pirito,COQUI,14,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,1,2026-02-07,2026-02-07,W,W,False,30.0,30.0,0.0,0.0,0.0,1.0
B14COQUI1PU,BORINQUEN COQUI 14M Pirito,COQUI,14,B14LIFRY1GE,LI Fury 14 1,B14,1,2026-02-06,2026-02-06,W,W,False,29.0,29.0,0.0,0.0,0.0,1.0
B14COQUI1PU,BORINQUEN COQUI 14M Pirito,COQUI,14,B14MVPVA1NE,MVP BOS 14 Black,B14,1,2026-02-07,2026-02-07,W,W,False,41.0,41.0,0.0,0.0,0.0,1.0
B14COQUI1PU,BORINQUEN COQUI 14M Pirito,COQUI,14,B14ROCVC1GE,Rockland VBC 14 1,B14,1,2026-02-06,2026-02-06,W,W,False,36.0,36.0,0.0,0.0,0.0,1.0
B14COQUI1PU,BORINQUEN COQUI 14M Pirito,COQUI,14,B14SPTMC3GE,Sportime 14 3,B14,1,2026-02-07,2026-02-07,W,W,False,40.0,40.0,0.0,0.0,0.0,1.0
B14CORE11GE,CORE Boys 14 Platinum,CORE1,14,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2,2026-02-06,2026-02-07,W,W,False,9.0,19.0,10.0,10.0,0.0,1.0
B14CORE11GE,CORE Boys 14 Platinum,CORE1,14,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14,1,2026-02-08,2026-02-08,L,L,False,-18.0,-18.0,0.0,0.0,0.0,0.0
B14CORE11GE,CORE Boys 14 Platinum,CORE1,14,B14LCVBC1GE,Legacy Boys 14 Premier,B14,1,2026-02-06,2026-02-06,W,W,False,21.0,21.0,0.0,0.0,0.0,1.0
B14CORE11GE,CORE Boys 14 Platinum,CORE1,14,B14LIFRY1GE,LI Fury 14 1,B14,1,2026-02-07,2026-02-07,W,W,False,25.0,25.0,0.0,0.0,0.0,1.0
B14CORE11GE,CORE Boys 14 Platinum,CORE1,14,B14MVPVA1NE,MVP BOS 14 Black,B14,1,2026-02-07,2026-02-07,W,W,False,24.0,24.0,0.0,0.0,0.0,1.0
B14CORE11GE,CORE Boys 14 Platinum,CORE1,14,B14SPTMC2GE,Sportime 14 2,B14,1,2026-02-06,2026-02-06,W,W,False,28.0,28.0,0.0,0.0,0.0,1.0
B14CORE11GE,CORE Boys 14 Platinum,CORE1,14,B14TACCU1GE,Accuracy 14 Champ,B14,1,2026-02-08,2026-02-08,W,W,False,16.0,16.0,0.0,0.0,0.0,1.0
B14HKJVB1NE,Husky 14.1,HKJVB,14,B14RRJVB2NE,Boston United Boys 13 Select 1,B14,2,2026-01-31,2026-03-15,W,W,False,8.0,18.0,10.0,10.0,0.0,1.0
B14HKJVB1NE,Husky 14.1,HKJVB,14,B13SJJVB1NE,SMASH Boys 13-1,MIXED,1,2026-01-31,2026-01-31,L,L,False,-12.0,-12.0,0.0,0.0,0.0,0.0
B14HKJVB1NE,Husky 14.1,HKJVB,14,B14CAPIT1XL,CSVC 14 CASCADE,B14,1,2026-03-14,2026-03-14,L,L,False,-0.0,-0.0,0.0,0.0,0.0,0.0
B14HKJVB1NE,Husky 14.1,HKJVB,14,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,1,2026-03-15,2026-03-15,W,W,False,-1.0,-1.0,0.0,0.0,0.0,1.0
B14HKJVB1NE,Husky 14.1,HKJVB,14,B14MVPVA1NE,MVP BOS 14 Black,B14,1,2026-02-01,2026-02-01,L,L,False,-14.0,-14.0,0.0,0.0,0.0,0.0
B14HKJVB1NE,Husky 14.1,HKJVB,14,B14SAVBC1XL,Sporting Albany Boys 14u,B14,1,2026-01-31,2026-01-31,L,L,False,-26.0,-26.0,0.0,0.0,0.0,0.0
