team_code,team_name,club,age,team_rank,matches_played,first_match_date,last_match_date,early_win_rate,late_win_rate,delta_win_rate,early_point_margin,late_point_margin,delta_point_margin,early_set_margin,late_set_margin,delta_set_margin,early_expected_win_rate,late_expected_win_rate,delta_expected_win_rate,early_performance_above_expected,late_performance_above_expected,delta_performance_above_expected,early_close_match_win_rate,late_close_match_win_rate,delta_close_match_win_rate,is_reliable_sample
B15NEVBC1NE,NEVBC Boys 15.1,NEVBC,15,1,11,2025-12-20,2026-02-01,0.2,1.0,0.8,-3.0,10.4,13.4,-0.6,1.4,2.0,0.4960996832155356,0.5909270729465165,0.09482738973098087,-0.29609968321553565,0.4090729270534835,0.7051726102690192,0.2,1.0,0.8,True
B16SAVBC1XL,Sporting Albany Boys 16u,SAVBC,16,1,17,2025-12-20,2026-03-15,0.2,1.0,0.8,-1.0,21.0,22.0,-0.4,2.0,2.4,0.5484986400256924,0.661234425450328,0.11273578542463558,-0.34849864002569236,0.338765574549672,0.6872642145753644,0.0,1.0,1.0,True
B17MVPVA2NE,MVP BOS 17 Blue,MVPVA,17,2,19,2025-11-22,2026-02-08,0.2,0.8,0.6000000000000001,-0.8,4.4,5.2,-0.8,0.8,1.6,0.5774887553242022,0.5082165717822508,-0.06927218354195142,-0.37748875532420223,0.2917834282177491,0.6692721835419513,0.0,0.8,0.8,True
B18PVJVB2NE,PV Boys 18 2,PVJVB,18,2,19,2025-12-20,2026-02-01,0.0,0.8,0.8,-10.2,9.2,19.4,-1.6,1.2,2.8,0.38382009487227364,0.5781871473719529,0.19436705249967923,-0.38382009487227364,0.22181285262804723,0.6056329475003208,0.0,0.6666666666666666,0.6666666666666666,True
B18PVJVB4NE,PV Boys 18 4,PVJVB,18,4,19,2026-01-17,2026-03-15,0.0,0.6,0.6,-11.8,4.0,15.8,-1.6,0.4,2.0,0.5810277507795079,0.5930920250596727,0.012064274280164877,-0.5810277507795079,0.006907974940327221,0.5879357257198351,0.0,0.3333333333333333,0.3333333333333333,True
B17PVJVB2NE,PV Boys 17 2,PVJVB,17,2,19,2026-01-17,2026-03-15,0.2,0.8,0.6000000000000001,-5.6,5.2,10.8,-1.0,0.8,1.8,0.4952015848039739,0.5689348250607648,0.07373324025679084,-0.2952015848039739,0.23106517493923523,0.5262667597432091,0.0,0.6666666666666666,0.6666666666666666,True
B18UNVBC1NE,Unity 18 Boys National Vikings,UNVBC,18,1,12,2026-02-06,2026-03-15,0.0,0.6,0.6,-12.0,-3.2,8.8,-2.0,0.0,2.0,0.33576924630106253,0.42599188490382855,0.09022263860276603,-0.33576924630106253,0.17400811509617145,0.509777361397234,0.0,0.6666666666666666,0.6666666666666666,True
B17RRJVB2NE,Boston United Boys 17 Northeast,RRJVB,17,2,24,2025-11-22,2026-03-15,0.4,1.0,0.6,-4.4,13.4,17.8,-0.6,1.8,2.4,0.4808414532373365,0.5994491062163966,0.11860765297906006,-0.08084145323733646,0.4005508937836034,0.4813923470209399,0.3333333333333333,1.0,0.6666666666666667,True
B18NYCIV1GE,NYC Impact 18 National,NYCIV,18,1,8,2026-02-06,2026-02-08,0.6,1.0,0.4,3.6,7.2,3.6,0.4,1.2,0.7999999999999999,0.5964653547506321,0.543689508760324,-0.05277584599030816,0.0035346452493678405,0.456310491239676,0.4527758459903081,0.6666666666666666,1.0,0.33333333333333337,True
B17RRJVB1NE,Boston United Boys 17 National 1,RRJVB,17,1,23,2025-11-22,2026-03-15,0.4,0.8,0.4,3.2,7.6,4.3999999999999995,-0.2,1.4,1.5999999999999999,0.48275784430871294,0.4418817445349351,-0.04087609977377782,-0.08275784430871293,0.358118255465065,0.4408760997737779,0.5,1.0,0.5,True
B15LEGIO1XL,TeamLVC Boys 15 Black,LEGIO,15,1,18,2025-12-20,2026-03-15,0.4,0.8,0.4,-2.6,5.0,7.6,-0.4,1.0,1.4,0.6725100821950806,0.634197295714759,-0.03831278648032155,-0.27251008219508066,0.16580270428524102,0.4383127864803217,0.0,0.5,0.5,True
B17HKJVB1NE,Husky 17.1,HKJVB,17,1,11,2026-01-31,2026-03-15,0.6,1.0,0.4,8.8,13.2,4.399999999999999,0.4,1.4,0.9999999999999999,0.6849776176391722,0.6735230574830535,-0.011454560156118676,-0.08497761763917219,0.32647694251694653,0.4114545601561187,,1.0,,True
B18HKJVB1NE,Husky 18.1,HKJVB,18,1,10,2026-01-31,2026-03-15,0.4,0.8,0.4,-1.0,5.6,6.6,-0.6,1.0,1.6,0.5608432903570147,0.5552527888525431,-0.005590501504471601,-0.1608432903570147,0.2447472111474569,0.4055905015044716,0.0,0.6666666666666666,0.6666666666666666,True
B18TUSVA1GE,Train Up VB 18 1,TUSVA,18,1,9,2026-02-06,2026-02-08,0.4,0.8,0.4,-2.2,3.8,6.0,-0.6,0.8,1.4,0.5129316408444353,0.5158386359251501,0.0029069950807147915,-0.11293164084443537,0.2841613640748499,0.39709300491928523,0.25,0.75,0.5,True
B16ALLIN1FL,AVA 16 Boys,ALLIN,16,1,8,2026-02-06,2026-02-08,0.2,0.8,0.6000000000000001,-12.4,0.6,13.0,-1.4,0.6,2.0,0.31432807008136904,0.519705623959948,0.20537755387857898,-0.1143280700813691,0.2802943760400519,0.394622446121421,,1.0,,True
B18LCVBC2GE,Legacy Boys 18 Premier Anthony,LCVBC,18,2,8,2026-02-06,2026-02-08,0.0,0.4,0.4,-9.2,-5.0,4.199999999999999,-1.6,-0.4,1.2000000000000002,0.40365618484997523,0.431221799337806,0.027565614487830792,-0.40365618484997523,-0.03122179933780602,0.37243438551216923,0.0,0.6666666666666666,0.6666666666666666,True
B16PVJVB1NE,PV Boys 16 1,PVJVB,16,1,18,2026-01-17,2026-03-15,0.0,0.4,0.4,-12.2,-3.2,9.0,-2.0,-0.6,1.4,0.34678586823498014,0.3845261501812508,0.03774028194627066,-0.34678586823498014,0.015473849818749209,0.36225971805372936,0.0,,,True
B18BVJVB1NE,Blast 18 Fire,BVJVB,18,1,23,2025-11-22,2026-03-15,0.4,0.8,0.4,-1.6,12.4,14.0,-0.6,1.4,2.0,0.5153044860224565,0.5818686738737274,0.06656418785127094,-0.11530448602245649,0.21813132612627256,0.3334358121487291,0.3333333333333333,0.6666666666666666,0.3333333333333333,True
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,1,26,2025-11-22,2026-02-08,0.0,0.4,0.4,-13.0,-12.2,0.8000000000000007,-1.6,-0.6,1.0,0.33076806537035075,0.3981888469645901,0.06742078159423937,-0.33076806537035075,0.001811153035409885,0.33257921840576066,0.0,0.6666666666666666,0.6666666666666666,True
B18SAVBC1XL,Sporting Albany Boys 18u,SAVBC,18,1,18,2025-12-20,2026-03-15,0.0,0.4,0.4,-12.2,-3.2,9.0,-1.6,-0.2,1.4000000000000001,0.2891107834343637,0.3593757700007644,0.07026498656640073,-0.2891107834343637,0.04062422999923555,0.32973501343359923,0.0,0.5,0.5,True
B18NEVBC3NE,NEVBC Boys 18 Blue,NEVBC,18,3,10,2025-11-22,2026-03-15,0.0,0.2,0.2,-6.6,-10.4,-3.8000000000000007,-1.4,-1.2,0.19999999999999996,0.48024784256091396,0.3565831392943871,-0.12366470326652684,-0.48024784256091396,-0.15658313929438714,0.32366470326652685,0.0,1.0,1.0,True
B17PVJVB3NE,PV Boys 17 3,PVJVB,17,3,19,2026-01-17,2026-03-15,0.2,0.6,0.39999999999999997,-6.4,-0.2,6.2,-1.2,0.2,1.4,0.39406777340646426,0.478161635761355,0.08409386235489075,-0.19406777340646428,0.12183836423864496,0.3159061376451092,0.5,0.75,0.25,True
B17DIGSV1GE,Digs Boys 17 Red,DIGSV,17,1,8,2026-02-06,2026-02-08,0.0,0.4,0.4,-14.0,-5.2,8.8,-2.0,-0.4,1.6,0.3333000833427052,0.41934928443418384,0.08604920109147862,-0.3333000833427052,-0.019349284434183767,0.31395079890852146,0.0,0.6666666666666666,0.6666666666666666,True
B17SJJVB2NE,SMASH Boys 17 Chaos,SJJVB,17,2,11,2025-12-20,2026-02-01,0.4,0.8,0.4,-1.0,9.6,10.6,0.0,1.4,1.4,0.4537710649984864,0.5503696149675739,0.09659854996908745,-0.053771064998486384,0.24963038503242618,0.30340145003091257,0.6666666666666666,,,True
B14LCVBC1GE,Legacy Boys 14 Premier,LCVBC,14,1,8,2026-02-06,2026-02-08,0.0,0.4,0.4,-18.0,-4.2,13.8,-1.8,-0.2,1.6,0.3441415310250196,0.44336126820282307,0.09921973717780347,-0.3441415310250196,-0.043361268202823045,0.30078026282219655,0.0,0.5,0.5,True
B18CAPIT1XL,CSVC 18 HAYSTACK,CAPIT,18,1,28,2025-12-20,2026-03-15,0.4,0.8,0.4,-1.6,10.0,11.6,-0.4,1.2,1.6,0.4963772350809411,0.6044265650489252,0.10804932996798411,-0.09637723508094116,0.19557343495107476,0.2919506700320159,0.4,1.0,0.6,True
B16LIFRY2GE,LI Fury 16 2,LIFRY,16,2,8,2026-02-06,2026-02-08,0.0,0.4,0.4,-15.6,-7.6,8.0,-2.0,-0.4,1.6,0.25396219538570264,0.3719485139987753,0.11798631861307268,-0.25396219538570264,0.0280514860012247,0.28201368138692734,,1.0,,True
B18LHVBC3NE,LHV Boys 18-3 Thunder,LHVBC,18,3,12,2026-01-17,2026-02-01,0.0,0.4,0.4,-9.4,-6.6,2.8000000000000007,-1.6,-0.6,1.0,0.3361045202819877,0.46292248355889376,0.1268179632769061,-0.3361045202819877,-0.0629224835588938,0.2731820367230939,0.0,0.5,0.5,True
B18SPTMC3GE,Sportime 18 3,SPTMC,18,3,8,2026-02-06,2026-02-08,0.0,0.4,0.4,-15.8,-5.0,10.8,-1.8,-0.4,1.4,0.3319168749971998,0.4610189268283391,0.12910205183113932,-0.3319168749971998,-0.06101892682833909,0.2708979481688607,0.0,0.0,0.0,True
B17SJJVB3NE,SMASH Boys 17's Shock,SJJVB,17,3,10,2025-12-20,2026-02-01,0.6,0.8,0.20000000000000007,-3.6,2.8,6.4,0.2,0.6,0.39999999999999997,0.44355549738305217,0.37425335997428305,-0.06930213740876912,0.15644450261694776,0.42574664002571694,0.2693021374087692,1.0,1.0,0.0,True
B14SAVBC1XL,Sporting Albany Boys 14u,SAVBC,14,1,17,2025-12-20,2026-03-15,0.6,0.8,0.20000000000000007,6.8,14.2,7.3999999999999995,0.4,1.0,0.6,0.566911397625506,0.5032746803730128,-0.0636367172524932,0.03308860237449403,0.29672531962698717,0.26363671725249316,0.0,1.0,1.0,True
B18RRJVB1NE,Boston United Boys 18 1,RRJVB,18,1,24,2025-11-22,2026-03-15,0.2,0.6,0.39999999999999997,-7.0,1.0,8.0,-0.8,0.2,1.0,0.34505951392740314,0.48917299165130385,0.1441134777239007,-0.14505951392740316,0.11082700834869615,0.2558865222760993,,0.5,,True
B16MCJVB2NE,Mill City 16 Royal,MCJVB,16,2,20,2025-11-22,2026-03-15,0.0,0.2,0.2,-10.2,-11.8,-1.6000000000000014,-1.6,-0.8,0.8,0.38489637714976255,0.33137694673337637,-0.05351943041638618,-0.38489637714976255,-0.13137694673337635,0.2535194304163862,0.0,1.0,1.0,True
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,24,2025-12-20,2026-03-15,0.0,0.2,0.2,-16.4,-13.0,3.3999999999999986,-2.0,-1.2,0.8,0.40591029576635085,0.3568029332155215,-0.04910736255082937,-0.40591029576635085,-0.1568029332155215,0.24910736255082935,0.0,0.5,0.5,True
B161130588XX,NY Strangers 16,113058,16,8,8,2026-02-06,2026-02-08,0.8,1.0,0.19999999999999996,13.0,14.2,1.1999999999999993,1.2,1.8,0.6000000000000001,0.6720891858728404,0.6267007065076994,-0.04538847936514101,0.12791081412715954,0.3732992934923006,0.24538847936514108,0.5,1.0,0.5,True
B18SLCTD1SC,Selected 18s - Bubba,SLCTD,18,1,7,2026-02-06,2026-02-08,0.2,0.4,0.2,-5.4,-1.2,4.2,-1.0,-0.4,0.6,0.4913555791930029,0.46084008325174236,-0.030515495941260518,-0.29135557919300287,-0.060840083251742304,0.23051549594126056,0.0,0.3333333333333333,0.3333333333333333,True
B15HKJVB1NE,Husky 15.1,HKJVB,15,1,10,2026-01-31,2026-03-15,0.4,0.6,0.19999999999999996,-3.6,4.0,7.6,-0.6,0.2,0.8,0.5256034574413806,0.49916923854757356,-0.026434218893807038,-0.1256034574413806,0.10083076145242649,0.2264342188938071,0.0,1.0,1.0,True
B18SJJVB2NE,SMASH Boys 18's Force,SJJVB,18,2,10,2025-12-20,2026-02-01,0.4,0.6,0.19999999999999996,-4.2,3.6,7.800000000000001,-0.2,0.4,0.6000000000000001,0.4560897277291042,0.43556101966161986,-0.020528708067484358,-0.056089727729104276,0.16443898033838014,0.22052870806748442,0.5,0.75,0.25,True
B17BVJVB1NE,Blast 17 Ignite,BVJVB,17,1,22,2025-11-22,2026-03-15,0.2,0.4,0.2,-6.2,-4.4,1.7999999999999998,-1.0,-0.8,0.19999999999999996,0.48955835458450647,0.4723576690118291,-0.0172006855726774,-0.28955835458450646,-0.07235766901182909,0.21720068557267735,0.0,0.3333333333333333,0.3333333333333333,True
B17NEVBC1NE,NEVBC Boys 17.1,NEVBC,17,1,10,2025-12-20,2026-02-01,0.4,0.6,0.19999999999999996,0.2,-3.2,-3.4000000000000004,-0.2,0.2,0.4,0.5391969092588542,0.5244918946280896,-0.014705014630764568,-0.13919690925885425,0.0755081053719103,0.21470501463076455,0.4,0.0,-0.4,True
