team_code,rating,matches_played,wins,losses,model,pool_key,team_name,rank
B16CORE12GE,8.268158363541206,7,4,3,massey,B16,CORE Boys 16 Titanium,14
B16LIFRY1GE,7.421158028148327,7,5,2,massey,B16,LI Fury 16 1,15
B16MVPVA1NE,6.455037980334387,17,7,10,massey,B16,MVP BOS 16 Black,16
B16SPTMC6GE,5.664079226019594,8,3,5,massey,B16,Sportime 16 Lynbrook,17
B16SPTMC3GE,3.899415133576247,8,5,3,massey,B16,Sportime 16 3,18
B16NESVC1NE,3.432431454841282,22,12,10,massey,B16,NE Storm 16 Lightning,19
B16LHVBC1NE,2.9236066811978048,19,11,8,massey,B16,LHV Boys 16-1 Valiants,20
B16TACCU1GE,2.391780609803964,5,3,2,massey,B16,Accuracy 16 Champ,21
B16NEVBC2NE,0.8815355192584549,11,7,4,massey,B16,NEVBC Boys 16.2,22
B16RRJVB1NE,0.8696593071779742,22,8,14,massey,B16,Boston United Boys 16 National 1,23
B16CAPIT1XL,0.6231712040016412,22,16,6,massey,B16,CSVC 16 WOLFJAW,24
B16118971XX,-0.731899851689588,17,12,5,massey,B16,Supreme 16-1,25
B16LCVBC2GE,-0.9315945557023826,7,2,5,massey,B16,Legacy Boys 16 Premier,26
B16LCVBC1GE,-1.5811036024884935,8,1,7,massey,B16,Legacy Boys 16 National,27
B16ALLIN1FL,-3.1780671769898268,8,4,4,massey,B16,AVA 16 Boys,28
B16SJVBC1NE,-3.2575921230475964,17,3,14,massey,B16,South County Juniors Boys 16's Blue,29
B16TTVBC1NE,-3.5169299399193035,22,6,16,massey,B16,SLAM 16 1 Boys,30
B16NESVC2NE,-5.6885759903255195,12,7,5,massey,B16,NE Storm 16 Monsoon,31
B16BVJVB1NE,-5.90921736371415,22,5,17,massey,B16,Blast 16 Inferno,32
B16JHEAT1GE,-6.7648209965525945,5,2,3,massey,B16,CJ HEAT 16-1 Boys,33
B16RRJVB3NE,-7.2467199209884186,20,10,10,massey,B16,Boston United Boys 16 Select 1,34
B16SPTMC4GE,-8.612172422338162,7,1,6,massey,B16,Sportime 16 4,35
B16PVJVB1NE,-8.842336914611234,18,7,11,massey,B16,PV Boys 16 1,36
B16LIFRY2GE,-9.893044074832366,8,2,6,massey,B16,LI Fury 16 2,37
B16HKJVB2NE,-10.51489121125439,10,5,5,massey,B16,Husky 16.2,38
B16MVNER1NE,-10.953719540849194,7,2,5,massey,B16,Meraki VB 16 1,39
B16LHVBC2NE,-12.611361152174597,14,5,9,massey,B16,LHV Boys 16-2 Hunters,40
B16MVPVA2NE,-16.3437171363819,17,1,16,massey,B16,MVP BOS 16 Blue,41
B16NEVBC3NE,-16.47112551192496,10,4,6,massey,B16,NEVBC Boys 16 Blue,42
B16PVJVB2NE,-17.462390819821902,14,7,7,massey,B16,PV Boys 16 2,43
B16MCJVB2NE,-19.066001246371847,20,2,18,massey,B16,Mill City 16 Royal,44
B16BVJVB2NE,-19.28889064985655,20,5,15,massey,B16,Blast 16 Pyro,45
B16NEVBC4NE,-21.966293461363552,10,3,7,massey,B16,NEVBC Boys 16 Orange,46
B17SJJVB1NE,24.24090627298634,6,6,0,massey,B17,SMASH Boys 17-1,1
B17SYRVB1XL,19.054499331905458,8,8,0,massey,B17,SVC 17 1 Boys,2
B17CAPIT1XL,17.36420307767578,16,15,1,massey,B17,CSVC 17 BIG SLIDE,3
B17SJJVB2NE,16.427573121681018,8,6,2,massey,B17,SMASH Boys 17 Chaos,4
B17HKJVB1NE,16.040982892489485,11,9,2,massey,B17,Husky 17.1,5
B17ALLIN1FL,14.569140556144447,8,6,2,massey,B17,AVA 17 Boys,6
B17NYCIV1GE,13.464773086375557,7,6,1,massey,B17,NYC Impact 17U National,7
B17CORE11GE,13.022069804612128,7,5,2,massey,B17,CORE Boys 17 Platinum,8
B17SJJVB3NE,10.738312927103214,7,6,1,massey,B17,SMASH Boys 17's Shock,9
B17LCVBC1GE,8.275165056722082,8,5,3,massey,B17,Legacy Boys 17 National,10
B17RRJVB1NE,8.068353365172468,20,13,7,massey,B17,Boston United Boys 17 National 1,11
B17NEVBC1NE,7.946988275644672,7,3,4,massey,B17,NEVBC Boys 17.1,12
B17TTVBC1NE,6.906616664045981,23,13,10,massey,B17,SLAM 17 1 Boys,13
B17SJVBC1NE,6.474834117474736,17,8,9,massey,B17,South County Juniors Boys 17 1,14
B17NESVC1NE,5.657609235304982,26,19,7,massey,B17,NE Storm 17 Tsunami,15
B17NEVBC2NE,4.854720631336331,10,5,5,massey,B17,NEVBC Boys 17.2,16
B17LHVBC1NE,4.793922273324992,11,7,4,massey,B17,LHV Boys 17-1 Ubuntu,17
B17LIFRY1GE,4.151513773943226,7,4,3,massey,B17,LI Fury 17 1,18
B17MVPVA1NE,3.060926295064436,18,7,11,massey,B17,MVP BOS 17 Black,19
B17PVJVB1NE,3.0555067013943193,15,7,8,massey,B17,PV Boys 17 1,20
B17117902XX,2.898681375320677,9,8,1,massey,B17,Torrimar 17 2,21
B17BVJVB1NE,2.4221053988776933,22,10,12,massey,B17,Blast 17 Ignite,22
B17SPTMC3GE,1.8961447841209946,9,7,2,massey,B17,Sportime 17 3,23
B17SPTMC5GE,1.7391244132409074,7,2,5,massey,B17,Sportime 17 Lynbrook,24
B17ROYAL1NO,-0.5833724901928506,8,4,4,massey,B17,Infinity Royals 17N,25
B17HKJVB2NE,-0.6719625029141012,5,3,2,massey,B17,Husky 17.2,26
B17NYCVA1GE,-0.9722110322083357,14,7,7,massey,B17,NYC VBA 17 Downtown,27
B17MVNER1NE,-1.650365753442504,17,9,8,massey,B17,Meraki VB 17 1,28
B17CSJVB1NE,-2.41716566397838,10,1,9,massey,B17,MEVBC/CT STARS 17 1,29
B17DIGSV1GE,-2.569385161113886,8,2,6,massey,B17,Digs Boys 17 Red,30
B17CAMYV1NE,-3.423912133051855,13,7,6,massey,B17,CYVB 17 1,31
B17TTVBC2NE,-3.927827258395224,22,4,18,massey,B17,SLAM 17 2 Boys,32
B17CAPIT2XL,-5.267428624787448,23,8,15,massey,B17,CSVC 17 SKYLIGHT,33
B17NESVC2NE,-5.369365632291985,23,12,11,massey,B17,NE Storm 17 Landslide,34
B17LCVBC2GE,-5.4624626032818915,7,4,3,massey,B17,Legacy Boys 17 Premier,35
B17RRJVB2NE,-5.561802994458873,24,11,13,massey,B17,Boston United Boys 17 Northeast,36
B17HKJVB3NE,-6.89783129812777,7,3,4,massey,B17,Husky 17.3,37
B17XTREM1GE,-7.311976960362216,8,3,5,massey,B17,Xtreme 17 National Braulio,38
B17RAPTO1GE,-7.710301495314146,7,0,7,massey,B17,NYC Raptors 17 Black,39
B17SPTMC6GE,-7.90827158564066,7,2,5,massey,B17,Sportime 17 Lynbrook 2,40
