team_code,team_name,club,age,repeat_matchups_count,repeat_meetings_total,winner_change_rate,favorable_change_rate,avg_margin_slope,avg_performance_slope,h2h_raw_score,insufficient_h2h_samples,h2h_z_score
B18PWRSP1SU,PSA Power 18,PWRSP,18,3,6,0.6666666666666666,0.3333333333333333,9.666666666666666,0.0,0.25819982801945923,False,0.4615178958784169
B15SJJVB2NE,SMASH Boys 15 Lightning,SJJVB,15,4,9,0.25,0.25,3.25,0.25,0.2512947650379633,False,0.44819161644219924
B17LCVBC1GE,Legacy Boys 17 National,LCVBC,17,1,2,0.0,0.0,9.0,0.0,0.2403929433284621,False,0.42715187750658673
B18SPTMC2GE,Sportime 18 2,SPTMC,18,1,2,0.0,0.0,9.0,0.0,0.2403929433284621,False,0.42715187750658673
B15CORE11GE,CORE Boys 15 Platinum,CORE1,15,1,2,0.0,0.0,8.0,0.0,0.2136826162919663,False,0.37560284994884147
B16MCJVB2NE,Mill City 16 Royal,MCJVB,16,5,11,0.2,0.2,3.3,0.2,0.20681891353271986,False,0.36235639279385695
B15HKJVB1NE,Husky 15.1,HKJVB,15,2,4,0.0,0.0,7.5,0.0,0.2003274527737184,False,0.34982833616996883
B16NYCVA1GE,NYC VBA 16 Hudson,NYCVA,16,2,4,0.0,0.0,7.5,0.0,0.2003274527737184,False,0.34982833616996883
B18PVJVB2NE,PV Boys 18 2,PVJVB,18,3,6,0.0,0.0,7.333333333333333,0.0,0.1958757316009691,False,0.34123683157701135
B17RRJVB3NE,Boston United Boys 17 Select 1,RRJVB,17,5,14,0.2,0.2,0.8,0.08,0.17647983212903784,False,0.3038041279257342
B17MMVBC1NE,Mayhem 17 1,MMVBC,17,3,6,0.0,0.0,6.0,0.0,0.16026196221897474,False,0.27250479483335094
B16SPTMC3GE,Sportime 16 3,SPTMC,16,1,2,0.0,0.0,6.0,0.0,0.16026196221897474,False,0.27250479483335094
B17HKJVB4NE,Husky 17.4,HKJVB,17,3,6,0.6666666666666666,0.3333333333333333,5.666666666666667,0.0,0.1513585198734761,False,0.2553217856474358
B18MVPVA1NE,MVP BOS 18 Black,MVPVA,18,4,9,0.25,0.25,-1.5,0.25,0.14742127100714641,False,0.24772317593985668
B16PVJVB2NE,PV Boys 16 2,PVJVB,16,3,8,0.6666666666666666,0.3333333333333333,10.0,0.16666666666666666,0.1409754533229452,False,0.23528320719738924
B18NESVC1NE,NE Storm 18 Thunder,NESVC,18,5,11,0.6,0.4,1.5,0.3,0.13937170753534323,False,0.2321880921249398
B16LEGIO1XL,TeamLVC Boys 16 Black,LEGIO,16,5,11,0.2,0.2,-0.4,0.2,0.13518667284393565,False,0.22411127343444906
B15LCVBC1GE,Legacy Boys 15 Premier,LCVBC,15,1,2,0.0,0.0,5.0,0.0,0.13355163518247895,False,0.2209557672756057
B16SPTMC6GE,Sportime 16 Lynbrook,SPTMC,16,1,2,0.0,0.0,5.0,0.0,0.13355163518247895,False,0.2209557672756057
B18HKJVB2NE,Husky 18.2,HKJVB,18,1,2,0.0,0.0,5.0,0.0,0.13355163518247895,False,0.2209557672756057
B18SJJVB2NE,SMASH Boys 18's Force,SJJVB,18,1,2,0.0,0.0,5.0,0.0,0.13355163518247895,False,0.2209557672756057
B18LHVBC2NE,LHV Boys 18-2 Blitz,LHVBC,18,3,6,0.0,0.0,4.666666666666667,0.0,0.12464819283698034,False,0.20377275808969056
B18BVJVB2NE,Blast 18 Blaze,BVJVB,18,4,8,0.0,0.0,4.5,0.0,0.12019647166423106,False,0.19518125349673307
B16SJJVB1NE,SMASH Boys 16-1,SJJVB,16,2,4,0.0,0.0,4.5,0.0,0.12019647166423106,False,0.19518125349673307
B16SJJVB2NE,SMASH Boys 16's Fire,SJJVB,16,5,10,0.4,0.2,4.4,0.0,0.1175254389605815,False,0.19002635074095858
B15SPTMC5GE,Sportime 15 Lynbrook,SPTMC,15,1,2,0.0,0.0,4.0,0.0,0.10684130814598315,False,0.1694067397178604
B17SJVBC1NE,South County Juniors Boys 17 1,SJVBC,17,5,10,0.0,0.0,3.6,0.0,0.09615717733138485,False,0.1487871286947623
B18RRJVB2NE,Boston United Boys 18 Select 1,RRJVB,18,6,12,0.0,0.0,3.0,0.0,0.08013098110948737,False,0.11785771216011513
B18PVJVB1NE,PV Boys 18 1,PVJVB,18,2,4,0.0,0.0,3.0,0.0,0.08013098110948737,False,0.11785771216011513
B17CAMYV1NE,CYVB 17 1,CAMYV,17,1,2,0.0,0.0,3.0,0.0,0.08013098110948737,False,0.11785771216011513
B18CORE11GE,CORE Boys 18 Platinum,CORE1,18,1,2,0.0,0.0,3.0,0.0,0.08013098110948737,False,0.11785771216011513
B14RRJVB1NE,Boston United Boys 14-1,RRJVB,14,8,23,0.25,0.125,3.6875,0.025,0.07577465947977313,False,0.10945032188616953
B16CORE11GE,CORE Boys 16 Platinum,CORE1,16,2,4,0.0,0.0,2.5,0.0,0.06677581759123948,False,0.0920831983812425
B14117752XX,ValleyVBC Elite Boys,11775,14,7,18,0.14285714285714285,0.14285714285714285,-0.27142857142857174,0.14285714285714285,0.06540075598110781,False,0.08942942747318049
B16SJVBC1NE,South County Juniors Boys 16's Blue,SJVBC,16,3,7,0.0,0.0,2.1666666666666665,0.0,0.06296005658602578,False,0.08471905158727887
B18CAPIT1XL,CSVC 18 HAYSTACK,CAPIT,18,5,10,0.0,0.0,2.2,0.0,0.05876271948029074,False,0.07661849011391891
B17RIVAL1GE,Rival 17’s,RIVAL,17,1,2,0.0,0.0,2.0,0.0,0.053420654072991576,False,0.06630868460236984
B16RRJVB1NE,Boston United Boys 16 National 1,RRJVB,16,4,9,0.5,0.25,2.125,0.0,0.04896893290024223,False,0.05771718000941221
B18MVPVA2NE,MVP BOS 18 Blue,MVPVA,18,2,4,1.0,0.5,1.5,0.0,0.04006549055474373,False,0.040534170823497306
B16BVJVB2NE,Blast 16 Pyro,BVJVB,16,6,14,0.3333333333333333,0.16666666666666666,-0.25,-0.08333333333333333,0.03486936850888808,False,0.030506025598272785
