pool_key,team_code,team_name,local_rank,local_rating,wins,losses,matches_played,local_accuracy_pct,usav_national_accuracy_pct,usav_regional_accuracy_pct,local_picks_made,usav_national_picks_made,usav_regional_picks_made,event_name,model,local_edge_vs_usav_national_pp,local_edge_vs_usav_regional_pp,recommended_seed_source
B16,B16SJJVB2NE,SMASH Boys 16's Fire,9,10.02908772842835,9,7,16,,,,,,,,,,,
B16,B16NYCVA1GE,NYC VBA 16 Hudson,10,9.769248976932163,9,4,13,,,,,,,,,,,
B16,B16MCJVB1NE,Mill City 16's,11,9.459366429713535,15,5,20,,,,,,,,,,,
B16,B16NEVBC1NE,NEVBC Boys 16.1,12,9.42439749835197,6,4,10,,,,,,,,,,,
B16,B16SAVBC1XL,Sporting Albany Boys 16u,13,8.945261771940443,13,4,17,,,,,,,,,,,
B16,B16CORE12GE,CORE Boys 16 Titanium,14,8.268158363541204,4,3,7,,,,,,,,,,,
B16,B16LIFRY1GE,LI Fury 16 1,15,7.42115802814837,5,2,7,,,,,,,,,,,
B16,B16MVPVA1NE,MVP BOS 16 Black,16,6.455037980334403,7,10,17,,,,,,,,,,,
B16,B16SPTMC6GE,Sportime 16 Lynbrook,17,5.6640792260195925,3,5,8,,,,,,,,,,,
B16,B16SPTMC3GE,Sportime 16 3,18,3.899415133576233,5,3,8,,,,,,,,,,,
B16,B16NESVC1NE,NE Storm 16 Lightning,19,3.4324314548412773,12,10,22,,,,,,,,,,,
B16,B16LHVBC1NE,LHV Boys 16-1 Valiants,20,2.923606681197814,11,8,19,,,,,,,,,,,
B16,B16TACCU1GE,Accuracy 16 Champ,21,2.391780609803978,3,2,5,,,,,,,,,,,
B16,B16NEVBC2NE,NEVBC Boys 16.2,22,0.8815355192584212,7,4,11,,,,,,,,,,,
B16,B16RRJVB1NE,Boston United Boys 16 National 1,23,0.8696593071779806,8,14,22,,,,,,,,,,,
B16,B16CAPIT1XL,CSVC 16 WOLFJAW,24,0.6231712040016092,16,6,22,,,,,,,,,,,
B16,B16118971XX,Supreme 16-1,25,-0.7318998516896043,12,5,17,,,,,,,,,,,
B16,B16LCVBC2GE,Legacy Boys 16 Premier,26,-0.9315945557024137,2,5,7,,,,,,,,,,,
