team_code,team_name,club,age,opponent_code,opponent_name,pool_key,event_date,Event,matchup_meeting_number,team_won,point_margin_for_team,set_margin_for_team,expected_win_prob,performance_above_expected
B14117752XX,ValleyVBC Elite Boys,11775,14,B14RRJVB2NE,Boston United Boys 13 Select 1,B14,2026-03-14,,1,True,19.0,2.0,0.7526514645549082,0.24734853544509183
B14117752XX,ValleyVBC Elite Boys,11775,14,B14SAVBC1XL,Sporting Albany Boys 14u,B14,2026-03-14,,1,False,-7.0,-1.0,0.6000587087483895,-0.6000587087483895
B14117752XX,ValleyVBC Elite Boys,11775,14,B14SJJVB1NE,SMASH Boys 14-1,B14,2026-01-31,,1,False,-26.0,-3.0,0.3484289386785356,-0.3484289386785356
B14117752XX,ValleyVBC Elite Boys,11775,14,B14SJJVB1NE,SMASH Boys 14-1,B14,2026-03-15,,2,False,-19.0,-2.0,0.3484289386785356,-0.3484289386785356
B14117752XX,ValleyVBC Elite Boys,11775,14,B14TACCU1GE,Accuracy 14 Champ,B14,2025-11-22,,1,False,-24.0,-2.0,0.47089825023223747,-0.47089825023223747
B14117752XX,ValleyVBC Elite Boys,11775,14,B14TACCU1GE,Accuracy 14 Champ,B14,2025-11-23,,2,True,5.0,1.0,0.47089825023223747,0.5291017497677626
B14117901XX,Torrimar 14 1,11790,14,B14CAPIT1XL,CSVC 14 CASCADE,B14,2026-02-07,,1,True,31.0,2.0,0.8182013083865027,0.18179869161349727
B14117901XX,Torrimar 14 1,11790,14,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14,2026-02-08,,1,False,-18.0,-2.0,0.42852376543169707,-0.42852376543169707
B14117901XX,Torrimar 14 1,11790,14,B14MVPVA1NE,MVP BOS 14 Black,B14,2026-02-06,,1,True,27.0,2.0,0.7812459230102194,0.21875407698978055
B14117901XX,Torrimar 14 1,11790,14,B14ROCVC1GE,Rockland VBC 14 1,B14,2026-02-07,,1,True,39.0,2.0,0.8446065262398335,0.15539347376016655
B14117901XX,Torrimar 14 1,11790,14,B14SPTMC2GE,Sportime 14 2,B14,2026-02-07,,1,True,28.0,2.0,0.7757727690766902,0.22422723092330976
B14117901XX,Torrimar 14 1,11790,14,B14SPTMC3GE,Sportime 14 3,B14,2026-02-06,,1,True,28.0,2.0,0.8333028731945868,0.16669712680541315
B14117901XX,Torrimar 14 1,11790,14,B14TACCU1GE,Accuracy 14 Champ,B14,2026-02-06,,1,True,21.0,2.0,0.5908788098141153,0.40912119018588466
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B13SJJVB1NE,SMASH Boys 13-1,MIXED,2025-12-20,,1,False,-16.0,-2.0,0.368527701120652,-0.368527701120652
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B13SJJVB1NE,SMASH Boys 13-1,MIXED,2026-03-15,,2,False,-11.0,-1.0,0.368527701120652,-0.368527701120652
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14117752XX,ValleyVBC Elite Boys,B14,2026-01-17,,1,False,-14.0,-2.0,0.2650137289801982,-0.2650137289801982
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14117752XX,ValleyVBC Elite Boys,B14,2026-01-19,,2,False,-4.0,-2.0,0.2650137289801982,-0.2650137289801982
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14117901XX,Torrimar 14 1,B14,2026-02-07,,1,False,-31.0,-2.0,0.1817986916134973,-0.1817986916134973
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,2025-12-20,,1,False,-10.0,-2.0,0.6193644888199805,-0.6193644888199805
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,2025-12-21,,2,False,-9.0,-1.0,0.6193644888199805,-0.6193644888199805
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,2026-01-17,,3,False,-1.0,-1.0,0.6193644888199805,-0.6193644888199805
