team_code,team_name,club,age,gender,checkpoint_match_count,window_start_match,window_end_match,rolling_massey_rating,step_delta,step_direction,expanding_massey_rating,expanding_step_delta,expanding_step_direction
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B,5,1,5,8.120833333333342,0.0,start,8.120833333333342,0.0,start
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B,6,2,6,8.975000000000012,0.8541666666666696,up,8.03472222222223,-0.08611111111111214,down
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B,7,3,7,8.799268141209453,-0.17573185879055941,down,8.166143910387692,0.13142168816546196,up
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B,8,4,8,8.382887451043604,-0.4163806901658482,down,8.293992156902252,0.12784824651456006,up
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B,9,5,9,8.493602445345754,0.1107149943021497,up,8.322834691858759,0.028842534956506682,up
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B,10,6,10,8.152605084709894,-0.3409973606358605,down,8.136719209021619,-0.18611548283714008,down
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B,11,7,11,7.433394771989782,-0.7192103127201115,down,7.761391563025665,-0.37532764599595403,down
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B,12,8,12,6.372654169590421,-1.0607406023993615,down,7.418856518388831,-0.3425350446368336,down
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B,13,9,13,5.3380203050031065,-1.034633864587314,down,7.157079906171812,-0.26177661221701953,down
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B,14,10,14,4.335630646203886,-1.0023896587992205,down,6.8988332469820195,-0.2582466591897923,down
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B,15,11,15,3.628467378147131,-0.707163268056755,down,6.633968598730124,-0.26486464825189593,down
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B,16,12,16,3.3872560507735385,-0.24121132737359252,down,6.394474215446875,-0.23949438328324835,down
B14117752XX,ValleyVBC Elite Boys,11775,14,B,5,1,5,9.734285714285715,0.0,start,9.734285714285715,0.0,start
B14117752XX,ValleyVBC Elite Boys,11775,14,B,6,2,6,9.51792207792208,-0.21636363636363498,down,9.514935064935065,-0.21935064935065007,down
B14117752XX,ValleyVBC Elite Boys,11775,14,B,7,3,7,7.882305194805139,-1.635616883116941,down,9.015932282003671,-0.49900278293139344,down
B14117752XX,ValleyVBC Elite Boys,11775,14,B,8,4,8,6.575829603327412,-1.306475591477727,down,8.522393502079632,-0.49353877992403916,down
B14117752XX,ValleyVBC Elite Boys,11775,14,B,9,5,9,6.009866529742263,-0.5659630735851486,down,8.01659251652348,-0.5058009855561529,down
B14117752XX,ValleyVBC Elite Boys,11775,14,B,10,6,10,5.692857833033829,-0.31700869670843446,down,7.713571773659771,-0.3030207428637084,down
B14117752XX,ValleyVBC Elite Boys,11775,14,B,11,7,11,4.994225962322175,-0.6986318707116537,down,7.460067291020115,-0.25350448263965575,down
B14117752XX,ValleyVBC Elite Boys,11775,14,B,12,8,12,4.505296415289909,-0.4889295470322663,down,7.1365006708729375,-0.32356662014717763,down
B14117752XX,ValleyVBC Elite Boys,11775,14,B,13,9,13,4.562902276675457,0.05760586138554835,up,6.999512261539565,-0.1369884093333722,down
B14117752XX,ValleyVBC Elite Boys,11775,14,B,14,10,14,5.083678980168717,0.5207767034932598,up,6.969123396396779,-0.03038886514278616,down
B14117752XX,ValleyVBC Elite Boys,11775,14,B,15,11,15,5.414639781492829,0.3309608013241121,up,6.947261109604125,-0.021862286792654118,down
B14117752XX,ValleyVBC Elite Boys,11775,14,B,16,12,16,6.148478209223336,0.7338384277305074,up,7.0501957029586215,0.1029345933544965,up
B14117752XX,ValleyVBC Elite Boys,11775,14,B,17,13,17,7.027301616783807,0.8788234075604704,up,7.104383302023193,0.054187599064571046,up
B14117752XX,ValleyVBC Elite Boys,11775,14,B,18,14,18,7.472329584188612,0.44502796740480566,up,7.130850406719857,0.026467104696664023,up
B14117752XX,ValleyVBC Elite Boys,11775,14,B,19,15,19,7.64279615965456,0.170466575465948,up,7.146405702517248,0.015555295797391011,up
B14117752XX,ValleyVBC Elite Boys,11775,14,B,20,16,20,7.769314894058704,0.12651873440414363,up,7.1527745557177695,0.00636885320052194,up
B14117752XX,ValleyVBC Elite Boys,11775,14,B,21,17,21,7.446984902664996,-0.3223299913937083,down,7.1446693219363295,-0.008105233781440013,down
B14117752XX,ValleyVBC Elite Boys,11775,14,B,22,18,22,7.223951888002619,-0.22303301466237713,down,7.131557980654881,-0.013111341281448752,down
B14117901XX,Torrimar 14 1,11790,14,B,5,1,5,23.834989503402884,0.0,start,23.834989503402884,0.0,start
B14117901XX,Torrimar 14 1,11790,14,B,6,2,6,24.26939399180084,0.43440448839795565,up,23.741524243452954,-0.09346525994993016,down
B14117901XX,Torrimar 14 1,11790,14,B,7,3,7,23.8357981966606,-0.4335957951402385,down,23.372879851947157,-0.3686443915057964,down
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,5,1,5,-12.192857142857147,0.0,start,-12.192857142857147,0.0,start
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,6,2,6,-12.938690476190478,-0.7458333333333318,down,-12.615575396825394,-0.422718253968247,down
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,7,3,7,-13.239813689412722,-0.3011232132222439,down,-12.837962159104322,-0.22238676227892817,down
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,8,4,8,-13.768256080355172,-0.52844239094245,down,-12.98611243117437,-0.1481502720700476,down
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,9,5,9,-13.405408394297089,0.3628476860580836,up,-12.702740113233835,0.2833723179405343,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,10,6,10,-12.93800971769827,0.46739867659881895,up,-12.56543343027771,0.13730668295612425,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,11,7,11,-12.163170282451414,0.7748394352468555,up,-12.409936708473587,0.15549672180412344,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,12,8,12,-11.321523393492402,0.8416468889590121,up,-12.20611267343269,0.2038240350408973,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,13,9,13,-10.636964198596264,0.6845591948961385,up,-12.08259388018279,0.12351879324990023,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,14,10,14,-9.92480845806515,0.712155740531113,up,-11.710621664959305,0.3719722152234848,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,15,11,15,-9.052589252552186,0.8722192055129643,up,-11.394485371035868,0.3161362939234369,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,16,12,16,-8.53409648461566,0.518492767936527,up,-11.198736638517982,0.19574873251788638,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,17,13,17,-8.312153723460444,0.2219427611552156,up,-11.060830629323204,0.13790600919477747,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,18,14,18,-7.85256681387604,0.45958690958440407,up,-10.907586361764247,0.15324426755895715,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,19,15,19,-8.134452504460075,-0.28188569058403523,down,-10.769524517459507,0.13806184430474033,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,20,16,20,-8.462448674108725,-0.3279961696486495,down,-10.661476196804081,0.10804832065542591,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,21,17,21,-8.510866068715107,-0.04841739460638195,down,-10.558767455231584,0.10270874157249743,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,22,18,22,-8.427073697758857,0.08379237095624958,up,-10.462249508513125,0.0965179467184587,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,23,19,23,-8.442862484408172,-0.015788786649315156,down,-10.371776823208577,0.09047268530454744,up
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B,24,20,24,-8.460265439985188,-0.017402955577015433,down,-10.288428876319024,0.08334794688955327,up
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,5,1,5,-11.81785714285714,0.0,start,-11.81785714285714,0.0,start
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,6,2,6,-12.705357142857148,-0.8875000000000082,down,-11.865575396825404,-0.04771825396826479,down
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,7,3,7,-12.338690476190493,0.3666666666666547,up,-11.932397959183685,-0.06682256235828099,down
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,8,4,8,-12.512554112554238,-0.1738636363637447,down,-11.924512987013063,0.007884972170622007,up
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,9,5,9,-12.139220975392442,0.3733331371617954,up,-11.846524880509028,0.07798810650403531,up
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,10,6,10,-11.808868795240333,0.33035218015210965,up,-11.813362969048736,0.033161911460291904,up
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,11,7,11,-11.939498703031447,-0.13062990779111416,down,-11.899176899646333,-0.08581393059759712,down
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,12,8,12,-12.136189810461929,-0.1966911074304818,down,-12.017311230549618,-0.11813433090328473,down
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,13,9,13,-12.423336520822769,-0.2871467103608403,down,-12.116368192324488,-0.09905696177487044,down
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,14,10,14,-13.09693561630975,-0.6735990954869813,down,-12.293100143294998,-0.17673195097050964,down
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,15,11,15,-13.460385387773858,-0.36344977146410784,down,-12.36237044195711,-0.06927029866211143,down
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,16,12,16,-13.619705191943542,-0.15931980416968372,down,-12.436841990989208,-0.07447154903209885,down
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,17,13,17,-13.660157702679674,-0.04045251073613265,down,-12.500501369411399,-0.06365937842219083,down
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,18,14,18,-13.683747347220006,-0.023589644540331633,down,-12.551751290906575,-0.0512499214951756,down
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B,19,15,19,-13.402977217828266,0.2807701293917404,up,-12.585173057645857,-0.03342176673928243,down
B14COQUI1PU,BORINQUEN COQUI 14M Pirito,COQUI,14,B,5,1,5,17.432045369609643,0.0,start,17.432045369609643,0.0,start
B14COQUI1PU,BORINQUEN COQUI 14M Pirito,COQUI,14,B,6,2,6,19.452374426022608,2.0203290564129652,up,18.62697868835218,1.1949333187425388,up
B14COQUI1PU,BORINQUEN COQUI 14M Pirito,COQUI,14,B,7,3,7,23.049094775375533,3.5967203493529247,up,19.786855613791044,1.1598769254388621,up
B14COQUI1PU,BORINQUEN COQUI 14M Pirito,COQUI,14,B,8,4,8,24.631578548322548,1.5824837729470147,up,20.73848781381539,0.9516322000243456,up
B14CORE11GE,CORE Boys 14 Platinum,CORE1,14,B,5,1,5,10.238403491883616,0.0,start,10.238403491883616,0.0,start
B14CORE11GE,CORE Boys 14 Platinum,CORE1,14,B,6,2,6,9.85860220168922,-0.379801290194397,down,10.548835168074335,0.3104316761907189,up
B14CORE11GE,CORE Boys 14 Platinum,CORE1,14,B,7,3,7,11.346511423273624,1.4879092215844043,up,11.117581948406336,0.5687467803320008,up
