team_code,team_name
B17NEVBC1NE,NEVBC Boys 17.1
B17NEVBC2NE,NEVBC Boys 17.2
B17NYCIV1GE,NYC Impact 17U National
B17NYCVA1GE,NYC VBA 17 Downtown
B17PVJVB1NE,PV Boys 17 1
B17PVJVB2NE,PV Boys 17 2
B17PVJVB3NE,PV Boys 17 3
B17RAPTO1GE,NYC Raptors 17 Black
B17RIVAL1GE,Rival 17’s
B17ROYAL1NO,Infinity Royals 17N
B17RRJVB1NE,Boston United Boys 17 National 1
B17RRJVB2NE,Boston United Boys 17 Northeast
B17RRJVB3NE,Boston United Boys 17 Select 1
B17SJJVB1NE,SMASH Boys 17-1
B17SJJVB2NE,SMASH Boys 17 Chaos
B17SJJVB3NE,SMASH Boys 17's Shock
B17SJVBC1NE,South County Juniors Boys 17 1
B17SPTMC3GE,Sportime 17 3
B17SPTMC4GE,Sportime 17 4
B17SPTMC5GE,Sportime 17 Lynbrook
B17SPTMC6GE,Sportime 17 Lynbrook 2
B17SYRVB1XL,SVC 17 1 Boys
B17TTVBC1NE,SLAM 17 1 Boys
B17TTVBC2NE,SLAM 17 2 Boys
B17XTREM1GE,Xtreme 17 National Braulio
B18118281XX,PW-VB Quarter-Zip Elite 67-Matcha
B18315VB1XL,315VB 18 USA
B18BVJVB1NE,Blast 18 Fire
B18BVJVB2NE,Blast 18 Blaze
B18CAPIT1XL,CSVC 18 HAYSTACK
B18CORE11GE,CORE Boys 18 Platinum
B18CSJVB1NE,MEVBC/CT STARS 18 1
B18DIGSV1GE,Digs Boys 18 Red
B18DSTJN1GE,Downstate (N-B) 18 Cobras
B18GEVBC1NE,Generations vbc 18 1
B18HKJVB1NE,Husky 18.1
B18HKJVB2NE,Husky 18.2
B18HKJVB3NE,Husky 18.3
B18LCVBC1GE,Legacy Boys 18 National
B18LCVBC2GE,Legacy Boys 18 Premier Anthony
B18LCVBC5GE,Legacy Boys 18 Premier Billy
B18LEGIO1XL,TeamLVC Boys 18 Black
B18LHVBC1NE,LHV Boys 18-1 Rafiki
B18LHVBC2NE,LHV Boys 18-2 Blitz
B18LHVBC3NE,LHV Boys 18-3 Thunder
B18MCJVB1NE,Mill City 18's
B18MMVBC1NE,Mayhem 18 1
B18MMVBC2NE,Mayhem 18 2
B18MVNER1NE,Meraki VB 18 1
B18MVNER2NE,Meraki VB 18 2
B18MVPVA1NE,MVP BOS 18 Black
B18MVPVA2NE,MVP BOS 18 Blue
B18NESVC1NE,NE Storm 18 Thunder
B18NESVC2NE,NE Storm 18 Squall
B18NESVC3NE,NE Storm 18 Tornado
B18NEVBC1NE,NEVBC Boys 18.1
B18NEVBC2NE,NEVBC Boys 18.2
B18NEVBC3NE,NEVBC Boys 18 Blue
B18NYCIV1GE,NYC Impact 18 National
B18NYCIV2GE,NYC Impact 18 Travel
B18NYCVA1GE,NYC VBA 18 Riverside
B18PINVA1GE,PVA Boys 18 National
B18PVJVB1NE,PV Boys 18 1
B18PVJVB2NE,PV Boys 18 2
B18PVJVB3NE,PV Boys 18 3
B18PVJVB4NE,PV Boys 18 4
B18PWRSP1SU,PSA Power 18
B18RAPTO1GE,NYC Raptors 18 Black
B18ROYAL1NO,Infinity Royals 18N
B18RRJVB1NE,Boston United Boys 18 1
B18RRJVB2NE,Boston United Boys 18 Select 1
B18SAVBC1XL,Sporting Albany Boys 18u
B18SGHVB1NE,Starlings GH 18 1 Boys
B18SJJVB1NE,SMASH Boys 18-1
B18SJJVB2NE,SMASH Boys 18's Force
B18SJJVB3NE,SMASH Boys 18's Surge
B18SJVBC1NE,South County Juniors Boys 18's Blue
B18SJVBC2NE,South County Juniors Boys 18's Gold
B18SLCTD1SC,Selected 18s - Bubba
B18SPTMC2GE,Sportime 18 2
B18SPTMC3GE,Sportime 18 3
B18TTVBC1NE,SLAM 18 1 Boys
B18TTVBC2NE,SLAM 18 2 Boys
B18TUSVA1GE,Train Up VB 18 1
B18UNVBC1NE,Unity 18 Boys National Vikings
B18VENGE1OV,18 - Lusher
B18VTVBC1NE,VTV 18 1
B18XTREM2GE,Xtreme 18 National Kelly
G11GRVBC1NE,GVC 11-1
G11LDNER1NE,Lockdown VBC 11 Hummingbirds
G11SJJVB1NE,SMASH 11s
G12112721XX,X2 Volleyball 12 1
G12113231XX,EliteZ 12 GIRLS BLACK
G12113232XX,EliteZ 12 GIRLS CARBON
G12118021XX,NYCLBVC 12U BLUE
G12AVVBC1NE,Avidity 12 Ruby
G12AVVBC2NE,Avidity 12 Jade
G12BEVNY1GE,BEV 12 Elite
G12CACLI2GE,CALI 12 Blue
G12CJVBA3GE,CJVA 12 Red
G12CMJVB1NE,CMASS EDGE 12 White
G12CMJVB2NE,CMASS EDGE 12 Gray
G12CSJVB1NE,CT STARS 12-1
G12EYNER1NE,ENVY 12 1 LavaFlow
G12GGVOL1GE,GG 12 1
G12GRVBC1NE,GVC 12-1
G12GRVBC2NE,GVC 12-2 Diamonds
G12HKJVB1NE,Husky 12 Red
G12HKJVB2NE,Husky 12 Black
G12HRJVB1NE,HardRock 12
G12LCVBC1GE,Legacy 12 Premier
G12LDNER1NE,Lockdown VBC 12 SandPipers
G12LDNER2NE,Lockdown VBC 12 Puffins
G12LFJVB1NE,603 United 12 Seacoast Silver
G12LHVBA1GE,LHVA 12 Purple Travel
G12LHVBC1NE,LHV Girls 12-1 Spark
G12LIBER1CH,Libero 12 Huskies
G12MAJVB1NE,Mass Premier 12 1
G12MCJVB1NE,Mill City 12's
G12MGJVB1NE,MGA 12's Black
G12NEVBC1NE,Northeast 12.1
G12NSJVB1NE,NH Seacoast 12 USA
G12NYCJR1GE,NYC Juniors 12 Blue
G12NYCJR2GE,NYC Juniors 12 Orange
G12PROVA1GE,Prodigy 12.1 Club
G12PROVA2GE,Prodigy 12.2 Club
G12ROCKA1GE,RVT 12-1 Surf
G12ROCKA2GE,RVT 12-2 Swim
G12ROCKA3GE,RVT 12-3 Sail
G12RRJVB1NE,Boston United 12 Select
G12RRJVB2NE,Boston United 12 Sapphire
G12SJJVB1NE,SMASH 12s
