team_code,rating,matches_played,wins,losses,model,pool_key,rank
G13CACLI2GE,1654.431738043145,6,6,0,elo_margin,G13,1
G13LDNER1NE,1630.2849508132726,5,5,0,elo_margin,G13,2
G13RRJVB1NE,1627.6508549025878,9,7,2,elo_margin,G13,3
G13NYCJR1GE,1616.7002259118897,5,5,0,elo_margin,G13,4
G13113231XX,1601.626708781288,8,6,2,elo_margin,G13,5
G13SJJVB2NE,1592.413490045432,6,5,1,elo_margin,G13,6
G13NEVBC2NE,1591.652852878616,5,4,1,elo_margin,G13,7
G13LDNER3NE,1581.236774207726,3,3,0,elo_margin,G13,8
G13MNJVB1NE,1579.9715210569425,3,3,0,elo_margin,G13,9
G13TTVBC3NE,1572.6651828169313,3,3,0,elo_margin,G13,10
G13TTVBC1NE,1570.5618564051053,8,6,2,elo_margin,G13,11
G13LFJVB1NE,1568.633321560569,3,3,0,elo_margin,G13,12
G13RRJVB2NE,1568.6056648492251,3,3,0,elo_margin,G13,13
G13SJJVB1NE,1553.6294475242896,5,3,2,elo_margin,G13,14
G13LFJVB2NE,1544.3375502013855,3,2,1,elo_margin,G13,15
G13SOSVB1GE,1540.9280019106614,5,3,2,elo_margin,G13,16
G13MAJVB1NE,1537.4496352978465,3,2,1,elo_margin,G13,17
G13CACLI3GE,1531.4902332715774,5,3,2,elo_margin,G13,18
G13CMJVB2NE,1531.048943771071,3,2,1,elo_margin,G13,19
G13AVVBC2NE,1529.7342145934929,3,2,1,elo_margin,G13,20
G13TCJVB1NE,1528.503384351657,3,2,1,elo_margin,G13,21
G13RRJVB3NE,1525.8340208793998,3,2,1,elo_margin,G13,22
G13MGJVB3NE,1525.1673374560232,5,3,2,elo_margin,G13,23
G13NEVBC1NE,1524.6823863383265,5,3,2,elo_margin,G13,24
G13GAJVB2NE,1522.6505314514152,3,2,1,elo_margin,G13,25
G13SURGE1GE,1514.526641285469,5,3,2,elo_margin,G13,26
G13TTVBC2NE,1497.3423177198024,8,4,4,elo_margin,G13,27
G13SPAVB1XL,1493.7312922860804,5,3,2,elo_margin,G13,28
G13BVJVB1NE,1491.9368294416054,4,2,2,elo_margin,G13,29
G13SURGE2GE,1480.9210327296184,5,2,3,elo_margin,G13,30
G13RRJVB4NE,1480.6356754344656,3,1,2,elo_margin,G13,31
G13TTVBC6NE,1479.3662153633145,3,1,2,elo_margin,G13,32
G13CACLI1GE,1478.198219185095,5,2,3,elo_margin,G13,33
G13AVVBC1NE,1476.8411050605223,8,4,4,elo_margin,G13,34
G13MAJVB2NE,1475.1299207203085,3,1,2,elo_margin,G13,35
G13LDNER2NE,1466.3190252849424,3,1,2,elo_margin,G13,36
G13RRJVB5NE,1464.7648221618392,3,1,2,elo_margin,G13,37
G13HEVBA1NE,1449.69380561519,8,2,6,elo_margin,G13,38
G13MGJVB4NE,1430.448967422242,5,1,4,elo_margin,G13,39
G13LHVBC2NE,1427.4474333970136,5,1,4,elo_margin,G13,40
G13113232XX,1425.5294421877254,3,0,3,elo_margin,G13,41
G13MCJVB1NE,1424.2560663948639,5,1,4,elo_margin,G13,42
G13NEVBC3NE,1420.9689832795755,5,1,4,elo_margin,G13,43
G13MGJVB6NE,1417.1750434288665,3,0,3,elo_margin,G13,44
G13MAPVB3NE,1415.6501979775321,3,0,3,elo_margin,G13,45
G13TTVBC5NE,1415.1299207203085,3,0,3,elo_margin,G13,46
G13TTVBC4NE,1414.918656422035,3,0,3,elo_margin,G13,47
G13MGJVB5NE,1414.3123604879697,3,0,3,elo_margin,G13,48
G13NSJVB1NE,1406.330448798193,8,2,6,elo_margin,G13,49
G13LEGIO2XL,1391.2803335904384,4,0,4,elo_margin,G13,50
G13EYNER1NE,1368.1242974899264,10,2,8,elo_margin,G13,51
G13LEGIO1XL,1367.8743604487936,5,0,5,elo_margin,G13,52
G13EYNER2NE,1359.2557563463872,5,0,5,elo_margin,G13,53
