team_code,rating,matches_played,wins,losses,model,pool_key,rank
B15SJJVB1NE,1656.4707018792133,12,10,2,elo_margin,B15,1
B15RRJVB1NE,1647.61775417258,11,9,2,elo_margin,B15,2
B15NEVBC1NE,1629.5221526227504,11,7,4,elo_margin,B15,3
B15MCJVB1NE,1590.619736438841,15,10,5,elo_margin,B15,4
B15LEGIO1XL,1553.5123411145182,9,6,3,elo_margin,B15,5
B15SYRVB1XL,1547.292946495494,2,2,0,elo_margin,B15,6
B15NYCVA1GE,1537.5879262835547,5,3,2,elo_margin,B15,7
B15TACCU1GE,1517.7896648524727,5,3,2,elo_margin,B15,8
B15HKJVB1NE,1475.7412467511385,5,2,3,elo_margin,B15,9
B15LHVBC1NE,1451.315689841552,10,4,6,elo_margin,B15,10
B15SJJVB2NE,1450.1338954126413,10,4,6,elo_margin,B15,11
B15CAPIT1XL,1438.8873170932036,9,3,6,elo_margin,B15,12
B15SJVBC1NE,1419.371498049496,10,3,7,elo_margin,B15,13
B15SAVBC1XL,1408.7584328820174,10,3,7,elo_margin,B15,14
B15NEVBC3NE,1406.9688654364986,5,1,4,elo_margin,B15,15
B15RRJVB2NE,1388.322885778588,12,3,9,elo_margin,B15,16
B15TTVBC1NE,1380.0869448954402,7,1,6,elo_margin,B15,17
